job_id,company_id,job_function,level,location_city,location_country,mode,salary_min_lpa,salary_max_lpa,posted_date,job_title
8512,129,Quality Assurance,Senior,Kolkata,India,Hybrid,5.4,15.4,2019-01-06 02:45:22,Quality Assurance Senior
9305,66,DevOps,Senior,Jaipur,Global,Onsite,38.0,56.1,2019-01-06 03:11:13,DevOps Senior
3756,119,Data Science,Mid,Ahmedabad,India,Onsite,5.4,11.5,2019-01-06 04:13:32,Data Science Mid
6401,148,DevOps,Junior,Bengaluru,India,Hybrid,39.8,47.4,2019-01-06 10:55:23,DevOps Junior
8903,108,Quality Assurance,Lead,Ahmedabad,Global,Remote,37.2,62.1,2019-01-06 15:39:15,Quality Assurance Lead
5163,62,Software Engineering,Mid,Pune,India,Onsite,22.4,37.5,2019-01-06 15:56:41,Software Engineering Mid
3615,76,Data Science,Mid,Mumbai,India,Onsite,24.2,52.8,2019-01-07 02:41:34,Data Science Mid
4479,57,Machine Learning,Senior,Jaipur,India,Hybrid,38.5,44.8,2019-01-07 11:42:13,Machine Learning Senior
4690,148,Data Engineering,Senior,Lucknow,India,Onsite,32.6,47.5,2019-01-07 12:32:34,Data Engineering Senior
3092,96,Product Management,Junior,Hyderabad,India,Remote,5.8,15.5,2019-01-07 15:29:13,Product Management Junior
4256,133,Quality Assurance,Senior,Ahmedabad,India,Onsite,35.1,40.0,2019-01-07 19:24:52,Quality Assurance Senior
5408,46,Quality Assurance,Senior,Mumbai,India,Onsite,16.4,27.599999999999998,2019-01-07 20:18:38,Quality Assurance Senior
4739,102,Data Engineering,Junior,Kochi,India,Onsite,16.4,25.7,2019-01-08 05:47:32,Data Engineering Junior
9568,41,Business Analytics,Lead,Mumbai,India,Onsite,37.8,43.199999999999996,2019-01-08 07:01:27,Business Analytics Lead
1349,139,DevOps,Junior,Lucknow,India,Onsite,17.2,26.2,2019-01-08 07:20:01,DevOps Junior
5759,128,Data Engineering,Mid,Ahmedabad,India,Onsite,36.9,50.8,2019-01-08 14:22:05,Data Engineering Mid
2431,67,Business Analytics,Mid,Kochi,Global,Hybrid,26.8,54.5,2019-01-08 16:16:45,Business Analytics Mid
5983,151,Machine Learning,Junior,Jaipur,India,Hybrid,17.5,37.0,2019-01-08 23:40:35,Machine Learning Junior
9116,55,Machine Learning,Junior,Mumbai,Global,Onsite,11.2,35.8,2019-01-09 08:42:49,Machine Learning Junior
4591,115,Software Engineering,Junior,Kochi,India,Remote,34.1,42.2,2019-01-09 11:31:26,Software Engineering Junior
1991,124,Machine Learning,Senior,Jaipur,India,Onsite,5.3,34.699999999999996,2019-01-09 17:33:14,Machine Learning Senior
5514,29,MLOps,Junior,Indore,India,Onsite,17.4,20.4,2019-01-09 19:50:08,MLOps Junior
6342,181,Data Science,Mid,Pune,India,Onsite,14.3,26.9,2019-01-10 03:05:29,Data Science Mid
2901,56,Product Management,Mid,Kochi,India,Onsite,8.9,21.9,2019-01-10 05:15:03,Product Management Mid
8678,137,Machine Learning,Junior,Kochi,India,Hybrid,24.6,48.5,2019-01-10 07:44:02,Machine Learning Junior
3272,65,Product Management,Senior,Gurugram,India,Onsite,6.6,29.799999999999997,2019-01-10 11:12:28,Product Management Senior
231,139,Quality Assurance,Senior,Mumbai,India,Hybrid,19.9,46.0,2019-01-10 14:43:29,Quality Assurance Senior
3742,68,Product Management,Senior,Noida,India,Onsite,31.2,56.4,2019-01-10 15:01:42,Product Management Senior
3048,16,Software Engineering,Senior,Ahmedabad,India,Hybrid,37.1,48.7,2019-01-11 12:43:58,Software Engineering Senior
4721,48,Product Management,Mid,Chennai,India,Hybrid,38.5,45.0,2019-01-12 03:57:00,Product Management Mid
2213,39,Cybersecurity,Junior,Chennai,India,Onsite,32.3,55.699999999999996,2019-01-12 12:38:02,Cybersecurity Junior
9035,28,MLOps,Senior,Lucknow,India,Hybrid,31.4,54.099999999999994,2019-01-12 19:52:34,MLOps Senior
8319,100,Cybersecurity,Senior,Gurugram,India,Onsite,36.0,54.6,2019-01-13 00:22:47,Cybersecurity Senior
6324,84,Quality Assurance,Mid,Mumbai,India,Hybrid,30.5,53.7,2019-01-13 01:30:03,Quality Assurance Mid
1785,107,Business Analytics,Mid,Gurugram,India,Remote,30.9,37.699999999999996,2019-01-13 01:59:55,Business Analytics Mid
848,91,Product Management,Junior,Gurugram,India,Hybrid,15.6,33.7,2019-01-13 09:49:53,Product Management Junior
1115,143,Business Analytics,Junior,Chennai,India,Remote,31.3,34.1,2019-01-13 12:10:10,Business Analytics Junior
5877,63,Product Management,Mid,Indore,India,Hybrid,18.9,21.0,2019-01-13 16:10:27,Product Management Mid
9295,114,Business Analytics,Senior,Lucknow,India,Remote,32.2,48.7,2019-01-13 17:13:38,Business Analytics Senior
6544,46,Data Engineering,Mid,Noida,Global,Onsite,30.5,41.4,2019-01-13 22:31:39,Data Engineering Mid
6019,15,Machine Learning,Senior,Hyderabad,India,Onsite,23.3,27.5,2019-01-14 05:21:15,Machine Learning Senior
8421,86,Data Science,Senior,Kolkata,Global,Onsite,28.0,38.8,2019-01-15 16:51:48,Data Science Senior
2555,158,Data Science,Lead,Gurugram,India,Onsite,23.8,51.400000000000006,2019-01-15 23:27:50,Data Science Lead
4208,59,Data Science,Senior,Kochi,India,Hybrid,38.2,59.7,2019-01-16 01:21:39,Data Science Senior
6766,111,Product Management,Mid,Bengaluru,Global,Onsite,15.1,43.9,2019-01-16 04:38:50,Product Management Mid
1626,120,Machine Learning,Senior,Kolkata,India,Onsite,5.0,18.4,2019-01-16 05:39:13,Machine Learning Senior
6494,155,MLOps,Lead,Noida,India,Hybrid,24.4,28.099999999999998,2019-01-16 05:45:36,MLOps Lead
1476,116,Data Science,Mid,Kochi,India,Onsite,23.9,48.9,2019-01-16 10:53:11,Data Science Mid
1485,126,Business Analytics,Mid,Hyderabad,Global,Onsite,19.7,49.099999999999994,2019-01-16 10:53:14,Business Analytics Mid
784,37,Cybersecurity,Mid,Indore,India,Onsite,27.1,50.1,2019-01-16 22:47:02,Cybersecurity Mid
6735,9,Data Engineering,Junior,Indore,India,Hybrid,6.7,31.8,2019-01-17 02:56:31,Data Engineering Junior
9225,160,Data Science,Senior,Noida,India,Onsite,34.4,43.599999999999994,2019-01-17 06:38:14,Data Science Senior
9505,60,Quality Assurance,Lead,Mumbai,India,Remote,27.0,50.8,2019-01-17 10:59:08,Quality Assurance Lead
9291,153,MLOps,Junior,Jaipur,India,Remote,28.0,52.7,2019-01-17 17:16:10,MLOps Junior
352,114,Machine Learning,Junior,Mumbai,India,Onsite,17.1,19.200000000000003,2019-01-17 17:53:08,Machine Learning Junior
9733,170,Cybersecurity,Senior,Mumbai,India,Onsite,19.8,45.7,2019-01-17 18:14:16,Cybersecurity Senior
3522,161,Quality Assurance,Junior,Mumbai,Global,Onsite,28.2,37.0,2019-01-17 18:15:13,Quality Assurance Junior
406,37,Quality Assurance,Mid,Lucknow,India,Onsite,19.5,33.9,2019-01-17 20:54:23,Quality Assurance Mid
9736,199,MLOps,Senior,Pune,India,Remote,20.5,40.3,2019-01-18 10:42:51,MLOps Senior
1100,142,Data Engineering,Mid,Kolkata,India,Remote,9.0,28.4,2019-01-18 15:35:58,Data Engineering Mid
8548,4,Data Science,Mid,Chennai,India,Onsite,7.8,18.7,2019-01-18 21:41:46,Data Science Mid
6660,169,Data Science,Mid,Indore,India,Hybrid,10.4,34.6,2019-01-19 05:04:25,Data Science Mid
221,110,Product Management,Junior,Kochi,India,Onsite,27.0,31.0,2019-01-19 05:12:46,Product Management Junior
9625,33,Software Engineering,Mid,Gurugram,India,Hybrid,14.3,38.400000000000006,2019-01-19 13:24:35,Software Engineering Mid
1487,91,Cybersecurity,Mid,Indore,India,Onsite,24.2,29.799999999999997,2019-01-19 18:20:52,Cybersecurity Mid
8479,104,Quality Assurance,Junior,Kochi,India,Remote,10.6,26.799999999999997,2019-01-20 00:19:31,Quality Assurance Junior
8772,172,MLOps,Senior,Mumbai,India,Onsite,14.2,40.599999999999994,2019-01-20 05:04:26,MLOps Senior
3939,101,Business Analytics,Senior,Noida,India,Hybrid,13.2,25.299999999999997,2019-01-20 14:11:15,Business Analytics Senior
3040,134,Data Engineering,Senior,Mumbai,India,Hybrid,30.2,56.2,2019-01-20 18:34:22,Data Engineering Senior
7479,117,Business Analytics,Mid,Hyderabad,India,Onsite,27.0,45.1,2019-01-21 07:11:48,Business Analytics Mid
7152,29,Machine Learning,Junior,Lucknow,India,Hybrid,21.1,23.1,2019-01-21 13:45:07,Machine Learning Junior
7804,156,MLOps,Lead,Noida,Global,Hybrid,32.3,34.5,2019-01-21 15:54:35,MLOps Lead
3676,163,Data Engineering,Mid,Mumbai,India,Onsite,36.3,45.5,2019-01-22 02:12:04,Data Engineering Mid
192,187,Data Engineering,Intern,Mumbai,India,Onsite,20.8,35.7,2019-01-22 06:33:31,Data Engineering Intern
4442,61,Cybersecurity,Lead,Hyderabad,India,Hybrid,34.6,53.3,2019-01-22 21:20:02,Cybersecurity Lead
9595,133,Data Engineering,Junior,Indore,India,Remote,30.2,40.8,2019-01-23 13:17:25,Data Engineering Junior
3725,51,Cybersecurity,Intern,Mumbai,India,Onsite,13.0,29.2,2019-01-23 18:29:17,Cybersecurity Intern
2397,78,Cybersecurity,Senior,Gurugram,India,Hybrid,13.7,29.8,2019-01-23 21:34:11,Cybersecurity Senior
5343,90,Product Management,Junior,Kolkata,India,Onsite,19.5,26.7,2019-01-24 00:13:09,Product Management Junior
4881,166,Software Engineering,Senior,Hyderabad,India,Remote,16.5,41.4,2019-01-24 03:44:27,Software Engineering Senior
1144,33,Product Management,Mid,Kochi,India,Hybrid,13.1,19.3,2019-01-25 03:48:17,Product Management Mid
1439,127,Machine Learning,Intern,Noida,India,Onsite,21.9,40.5,2019-01-25 03:54:39,Machine Learning Intern
655,179,Product Management,Mid,Kolkata,India,Hybrid,13.8,40.7,2019-01-25 05:12:04,Product Management Mid
6914,160,Product Management,Junior,Kochi,India,Onsite,9.1,36.5,2019-01-25 05:54:06,Product Management Junior
9548,113,Cybersecurity,Lead,Jaipur,India,Onsite,19.6,32.6,2019-01-25 09:32:48,Cybersecurity Lead
8447,4,Product Management,Intern,Chennai,Global,Hybrid,37.1,53.3,2019-01-25 12:28:59,Product Management Intern
3329,172,Business Analytics,Senior,Chennai,India,Hybrid,14.8,27.700000000000003,2019-01-25 15:25:57,Business Analytics Senior
9021,181,DevOps,Intern,Mumbai,India,Onsite,32.4,49.099999999999994,2019-01-25 16:12:01,DevOps Intern
9017,41,Data Science,Senior,Kolkata,India,Onsite,28.0,35.0,2019-01-26 13:52:07,Data Science Senior
4174,7,Product Management,Senior,Gurugram,India,Onsite,31.5,52.5,2019-01-26 19:53:58,Product Management Senior
6520,18,DevOps,Mid,Jaipur,Global,Hybrid,12.6,28.700000000000003,2019-01-26 22:53:05,DevOps Mid
4786,27,Data Science,Manager,Gurugram,India,Onsite,15.5,19.1,2019-01-27 04:54:18,Data Science Manager
6569,138,Data Engineering,Senior,Pune,India,Hybrid,36.7,50.300000000000004,2019-01-27 16:44:15,Data Engineering Senior
9093,139,Machine Learning,Director,Noida,India,Hybrid,27.9,50.3,2019-01-28 01:15:56,Machine Learning Director
1250,80,Quality Assurance,Intern,Chennai,India,Hybrid,10.2,36.0,2019-01-28 23:48:02,Quality Assurance Intern
2611,131,Machine Learning,Lead,Chennai,India,Onsite,37.2,40.0,2019-01-29 03:24:08,Machine Learning Lead
387,108,Quality Assurance,Intern,Hyderabad,India,Hybrid,11.3,27.7,2019-01-29 09:49:20,Quality Assurance Intern
9026,194,Quality Assurance,Mid,Hyderabad,India,Remote,27.5,40.4,2019-01-29 13:33:42,Quality Assurance Mid
678,167,Product Management,Junior,Pune,Global,Onsite,17.5,34.8,2019-01-30 12:56:34,Product Management Junior
2829,35,Software Engineering,Senior,Gurugram,Global,Onsite,3.4,23.5,2019-01-30 15:47:19,Software Engineering Senior
9197,125,Software Engineering,Intern,Noida,Global,Onsite,9.2,21.2,2019-01-30 18:52:17,Software Engineering Intern
4297,59,Data Engineering,Mid,Ahmedabad,India,Onsite,22.6,31.5,2019-01-31 01:56:18,Data Engineering Mid
8675,128,Product Management,Manager,Noida,India,Onsite,15.0,42.7,2019-01-31 09:16:18,Product Management Manager
4628,149,Data Science,Junior,Kolkata,India,Onsite,9.0,30.8,2019-01-31 14:34:07,Data Science Junior
7110,68,DevOps,Mid,Gurugram,India,Onsite,21.1,51.0,2019-01-31 19:31:00,DevOps Mid
8056,131,DevOps,Senior,Lucknow,India,Remote,9.6,22.1,2019-01-31 20:41:51,DevOps Senior
6199,66,Data Engineering,Senior,Kochi,India,Onsite,35.7,48.800000000000004,2019-01-31 22:29:10,Data Engineering Senior
3231,53,Quality Assurance,Mid,Indore,Global,Remote,28.8,33.3,2019-01-31 23:15:41,Quality Assurance Mid
1435,67,Quality Assurance,Senior,Lucknow,India,Onsite,12.7,37.9,2019-02-01 00:39:15,Quality Assurance Senior
7503,72,Cybersecurity,Mid,Pune,India,Onsite,15.5,21.1,2019-02-01 04:20:16,Cybersecurity Mid
1431,134,Business Analytics,Junior,Bengaluru,Global,Hybrid,25.3,52.900000000000006,2019-02-01 04:42:49,Business Analytics Junior
4704,79,Software Engineering,Mid,Jaipur,India,Remote,10.6,30.9,2019-02-01 07:31:31,Software Engineering Mid
6353,63,Data Science,Mid,Noida,India,Hybrid,22.4,45.2,2019-02-01 13:56:03,Data Science Mid
2107,190,Machine Learning,Junior,Jaipur,India,Onsite,36.9,51.9,2019-02-02 00:17:15,Machine Learning Junior
701,83,MLOps,Mid,Lucknow,India,Onsite,6.6,31.299999999999997,2019-02-02 09:01:39,MLOps Mid
789,166,DevOps,Mid,Lucknow,India,Onsite,10.9,22.0,2019-02-02 10:03:13,DevOps Mid
942,198,Business Analytics,Intern,Kochi,Global,Hybrid,34.8,57.9,2019-02-02 13:59:31,Business Analytics Intern
8353,53,Product Management,Senior,Ahmedabad,Global,Onsite,20.0,33.0,2019-02-02 14:51:13,Product Management Senior
3858,138,Machine Learning,Junior,Bengaluru,Global,Onsite,15.4,32.8,2019-02-02 22:10:09,Machine Learning Junior
255,47,Product Management,Senior,Lucknow,India,Onsite,4.7,17.3,2019-02-03 07:25:55,Product Management Senior
9432,38,DevOps,Senior,Noida,Global,Onsite,4.2,22.8,2019-02-03 12:32:04,DevOps Senior
4316,193,Quality Assurance,Junior,Chennai,India,Hybrid,35.8,38.0,2019-02-03 20:23:24,Quality Assurance Junior
2369,98,Data Engineering,Mid,Noida,India,Onsite,15.9,33.4,2019-02-03 20:25:16,Data Engineering Mid
859,34,DevOps,Mid,Noida,India,Onsite,30.8,57.8,2019-02-03 20:33:30,DevOps Mid
2881,94,Software Engineering,Senior,Noida,India,Onsite,22.8,32.9,2019-02-03 22:02:04,Software Engineering Senior
2757,120,Product Management,Mid,Bengaluru,India,Hybrid,32.9,46.8,2019-02-04 23:43:35,Product Management Mid
4129,194,Data Science,Mid,Mumbai,Global,Onsite,22.4,47.7,2019-02-05 05:03:05,Data Science Mid
1591,47,Software Engineering,Mid,Kolkata,India,Hybrid,35.1,46.8,2019-02-05 05:47:33,Software Engineering Mid
5532,149,Machine Learning,Manager,Kolkata,India,Hybrid,17.2,30.299999999999997,2019-02-05 22:35:48,Machine Learning Manager
1314,196,Quality Assurance,Senior,Noida,India,Remote,13.2,17.4,2019-02-06 09:25:54,Quality Assurance Senior
6874,22,MLOps,Senior,Indore,Global,Onsite,38.1,55.2,2019-02-06 10:50:23,MLOps Senior
7863,26,Machine Learning,Mid,Pune,India,Onsite,3.2,20.0,2019-02-06 21:28:48,Machine Learning Mid
5062,65,Software Engineering,Senior,Hyderabad,India,Onsite,20.2,30.0,2019-02-07 08:05:53,Software Engineering Senior
4518,183,DevOps,Mid,Bengaluru,Global,Onsite,3.0,15.1,2019-02-07 18:10:16,DevOps Mid
7899,172,Cybersecurity,Junior,Chennai,India,Onsite,23.2,46.599999999999994,2019-02-08 11:47:10,Cybersecurity Junior
3624,42,DevOps,Lead,Chennai,India,Onsite,32.2,47.400000000000006,2019-02-08 17:53:53,DevOps Lead
1214,149,Software Engineering,Manager,Hyderabad,India,Hybrid,17.4,23.799999999999997,2019-02-08 19:07:07,Software Engineering Manager
4564,137,DevOps,Mid,Chennai,India,Hybrid,14.1,33.1,2019-02-08 19:18:42,DevOps Mid
5009,109,Cybersecurity,Intern,Jaipur,India,Onsite,29.7,53.0,2019-02-09 05:40:15,Cybersecurity Intern
3573,138,Cybersecurity,Senior,Chennai,India,Remote,18.9,28.0,2019-02-09 07:15:14,Cybersecurity Senior
6190,126,Machine Learning,Senior,Ahmedabad,India,Remote,39.1,69.0,2019-02-09 12:46:11,Machine Learning Senior
9425,80,Business Analytics,Lead,Bengaluru,India,Hybrid,12.5,40.0,2019-02-10 17:05:18,Business Analytics Lead
5204,9,Quality Assurance,Mid,Kochi,India,Hybrid,8.2,32.8,2019-02-11 08:24:24,Quality Assurance Mid
902,171,DevOps,Mid,Noida,India,Onsite,9.0,33.7,2019-02-11 14:26:03,DevOps Mid
4978,57,Quality Assurance,Junior,Mumbai,India,Onsite,22.3,43.400000000000006,2019-02-11 16:31:47,Quality Assurance Junior
493,52,MLOps,Mid,Kolkata,India,Onsite,27.2,44.2,2019-02-11 21:05:12,MLOps Mid
4176,194,Cybersecurity,Senior,Ahmedabad,India,Onsite,24.0,28.0,2019-02-11 21:18:15,Cybersecurity Senior
1613,120,Machine Learning,Senior,Kolkata,India,Remote,21.7,48.9,2019-02-12 04:13:51,Machine Learning Senior
4457,124,Machine Learning,Mid,Kochi,Global,Onsite,20.9,36.8,2019-02-12 09:24:48,Machine Learning Mid
2923,8,DevOps,Junior,Mumbai,India,Onsite,19.9,36.7,2019-02-12 13:57:41,DevOps Junior
857,13,MLOps,Junior,Indore,India,Onsite,20.0,33.2,2019-02-12 15:21:37,MLOps Junior
8081,194,Data Engineering,Mid,Noida,Global,Onsite,4.4,28.1,2019-02-13 06:15:00,Data Engineering Mid
1269,168,Business Analytics,Senior,Jaipur,India,Hybrid,23.5,43.5,2019-02-13 07:15:45,Business Analytics Senior
6420,21,Data Engineering,Mid,Chennai,India,Hybrid,40.0,61.0,2019-02-13 07:55:17,Data Engineering Mid
6879,80,Data Science,Senior,Indore,Global,Remote,23.7,31.2,2019-02-14 08:27:58,Data Science Senior
3593,23,Data Engineering,Junior,Jaipur,India,Onsite,12.5,37.3,2019-02-14 21:52:49,Data Engineering Junior
9998,27,Cybersecurity,Senior,Chennai,India,Onsite,26.1,35.7,2019-02-14 22:09:55,Cybersecurity Senior
3832,139,Software Engineering,Intern,Bengaluru,India,Hybrid,23.0,40.9,2019-02-15 01:04:14,Software Engineering Intern
9931,186,MLOps,Junior,Indore,India,Remote,22.3,50.8,2019-02-15 11:49:17,MLOps Junior
249,132,Business Analytics,Mid,Noida,India,Onsite,16.8,29.9,2019-02-15 11:58:27,Business Analytics Mid
1664,75,Software Engineering,Mid,Bengaluru,India,Onsite,15.9,35.0,2019-02-15 17:20:05,Software Engineering Mid
2157,184,Quality Assurance,Mid,Hyderabad,India,Hybrid,5.9,26.5,2019-02-16 00:44:49,Quality Assurance Mid
9525,46,Business Analytics,Senior,Ahmedabad,India,Onsite,23.6,40.900000000000006,2019-02-16 10:11:37,Business Analytics Senior
4875,186,DevOps,Mid,Mumbai,India,Onsite,20.9,43.0,2019-02-16 15:01:46,DevOps Mid
4538,113,Product Management,Mid,Noida,India,Hybrid,13.3,19.9,2019-02-17 00:16:11,Product Management Mid
3809,189,Business Analytics,Senior,Lucknow,India,Onsite,11.4,32.4,2019-02-17 05:09:37,Business Analytics Senior
539,144,Product Management,Mid,Pune,India,Hybrid,13.8,36.3,2019-02-17 06:20:43,Product Management Mid
4521,140,Quality Assurance,Junior,Hyderabad,India,Hybrid,4.7,18.7,2019-02-17 12:21:36,Quality Assurance Junior
1475,65,Data Engineering,Senior,Jaipur,India,Remote,31.6,38.0,2019-02-17 16:28:17,Data Engineering Senior
4059,159,Data Engineering,Senior,Kochi,India,Onsite,30.5,47.0,2019-02-17 19:06:35,Data Engineering Senior
8875,199,Software Engineering,Mid,Noida,India,Onsite,24.2,45.9,2019-02-17 19:24:03,Software Engineering Mid
825,167,Data Science,Mid,Hyderabad,India,Onsite,12.2,19.799999999999997,2019-02-18 04:24:16,Data Science Mid
9807,146,Software Engineering,Intern,Bengaluru,India,Onsite,10.4,31.5,2019-02-18 07:18:11,Software Engineering Intern
8326,101,Product Management,Intern,Gurugram,India,Onsite,15.8,32.400000000000006,2019-02-18 16:00:59,Product Management Intern
5598,186,Quality Assurance,Senior,Bengaluru,India,Onsite,7.0,28.7,2019-02-18 18:06:25,Quality Assurance Senior
5335,167,Data Engineering,Junior,Bengaluru,India,Onsite,24.2,51.3,2019-02-19 15:37:52,Data Engineering Junior
739,88,DevOps,Senior,Lucknow,Global,Remote,32.4,58.599999999999994,2019-02-20 10:39:46,DevOps Senior
4778,98,Product Management,Intern,Indore,India,Onsite,11.2,30.5,2019-02-20 17:31:13,Product Management Intern
9075,87,Quality Assurance,Mid,Kolkata,India,Onsite,24.3,34.8,2019-02-21 00:44:22,Quality Assurance Mid
2156,145,DevOps,Intern,Lucknow,India,Onsite,36.1,48.5,2019-02-21 05:07:15,DevOps Intern
3470,114,Software Engineering,Senior,Jaipur,India,Hybrid,39.3,50.3,2019-02-21 06:07:56,Software Engineering Senior
4664,149,Machine Learning,Junior,Hyderabad,India,Hybrid,6.5,26.1,2019-02-21 17:53:07,Machine Learning Junior
3248,131,MLOps,Mid,Pune,India,Onsite,38.5,58.9,2019-02-21 23:52:45,MLOps Mid
1781,91,Quality Assurance,Junior,Chennai,India,Onsite,4.2,33.2,2019-02-22 11:14:53,Quality Assurance Junior
1212,158,Data Science,Senior,Lucknow,India,Onsite,21.6,38.8,2019-02-22 23:59:50,Data Science Senior
821,131,Cybersecurity,Senior,Chennai,India,Onsite,3.5,31.1,2019-02-24 04:58:34,Cybersecurity Senior
1570,104,Product Management,Senior,Kochi,Global,Onsite,14.6,25.2,2019-02-24 14:05:08,Product Management Senior
3691,45,Data Science,Mid,Bengaluru,India,Onsite,30.7,51.4,2019-02-24 17:24:00,Data Science Mid
7381,131,Quality Assurance,Intern,Bengaluru,Global,Hybrid,32.5,57.5,2019-02-24 18:58:18,Quality Assurance Intern
6666,101,MLOps,Senior,Noida,India,Onsite,8.8,22.9,2019-02-24 20:35:43,MLOps Senior
3947,189,Quality Assurance,Senior,Jaipur,India,Hybrid,13.3,42.0,2019-02-24 22:56:31,Quality Assurance Senior
9107,174,Machine Learning,Mid,Mumbai,India,Onsite,10.9,27.299999999999997,2019-02-24 22:58:52,Machine Learning Mid
1374,179,Data Science,Junior,Indore,India,Remote,36.2,54.7,2019-02-24 23:11:21,Data Science Junior
4255,193,Business Analytics,Intern,Kolkata,India,Onsite,34.6,38.9,2019-02-25 10:09:35,Business Analytics Intern
705,8,Data Science,Intern,Gurugram,India,Onsite,21.4,35.8,2019-02-26 07:35:20,Data Science Intern
5765,49,Data Engineering,Junior,Jaipur,India,Onsite,38.0,64.3,2019-02-26 11:55:39,Data Engineering Junior
8702,38,Business Analytics,Junior,Pune,Global,Remote,7.1,14.8,2019-02-26 21:32:48,Business Analytics Junior
3420,129,Product Management,Junior,Pune,India,Onsite,17.3,23.4,2019-02-26 22:30:17,Product Management Junior
7309,125,DevOps,Lead,Kolkata,India,Onsite,9.1,11.8,2019-02-26 22:37:12,DevOps Lead
1810,92,DevOps,Mid,Ahmedabad,Global,Remote,36.8,61.5,2019-02-26 23:16:24,DevOps Mid
5599,72,Cybersecurity,Intern,Noida,India,Onsite,25.0,41.0,2019-02-26 23:38:49,Cybersecurity Intern
1629,141,Business Analytics,Mid,Noida,India,Remote,27.9,45.0,2019-02-27 14:30:48,Business Analytics Mid
5515,57,MLOps,Junior,Indore,India,Onsite,36.1,56.3,2019-02-27 17:27:32,MLOps Junior
2819,190,Software Engineering,Junior,Kochi,India,Onsite,9.0,23.2,2019-02-27 18:17:24,Software Engineering Junior
4567,116,Quality Assurance,Mid,Pune,India,Hybrid,31.9,49.8,2019-02-27 20:46:59,Quality Assurance Mid
504,133,Business Analytics,Mid,Gurugram,India,Hybrid,30.9,49.5,2019-02-28 19:01:24,Business Analytics Mid
3355,97,Product Management,Mid,Hyderabad,India,Onsite,18.8,48.8,2019-02-28 23:35:30,Product Management Mid
3474,115,DevOps,Senior,Mumbai,India,Onsite,17.6,41.900000000000006,2019-03-01 06:19:39,DevOps Senior
