employee_id,attrition_date,reason,rejoin_eligibility
28237,2021-10-15 06:34:01,Better Offer,1
25715,2020-11-30 20:56:48,Performance,0
14159,2023-09-16 10:16:52,Better Offer,0
21302,2023-04-13 02:50:32,Better Offer,1
9596,2024-08-20 18:04:27,Higher Studies,0
5516,2022-05-05 13:10:52,Better Offer,1
39268,2025-09-25 06:25:36,Higher Studies,0
5463,2019-11-04 00:24:33,Better Offer,0
17838,2024-01-22 03:40:08,Personal,0
40723,2020-02-11 14:01:25,Performance,1
22067,2020-05-24 07:41:04,Better Offer,0
36971,2021-05-10 07:06:31,Relocation,0
42655,2024-06-17 14:43:12,Relocation,0
26356,2022-05-07 17:08:18,Performance,0
21359,2022-07-10 08:18:26,Relocation,0
22743,2023-04-24 13:37:35,Better Offer,0
28537,2019-10-26 20:53:17,Personal,0
10490,2019-08-06 02:55:55,Better Offer,0
6410,2019-08-13 01:25:27,Relocation,0
28228,2024-10-14 22:46:55,Better Offer,1
14245,2025-07-03 16:54:30,Personal,0
26811,2023-06-17 13:56:37,Better Offer,1
42893,2019-09-28 09:15:08,Relocation,1
7849,2020-08-07 16:41:46,Performance,0
6399,2022-05-06 03:53:01,Performance,0
8142,2024-01-19 10:03:24,Better Offer,1
6318,2021-07-14 14:03:38,Higher Studies,0
31342,2025-05-14 19:57:14,Better Offer,1
38366,2019-07-24 12:17:43,Performance,0
14584,2025-03-12 19:19:17,Better Offer,1
8997,2022-04-07 06:41:20,Higher Studies,1
29248,2025-05-15 07:41:36,Better Offer,1
38915,2019-12-03 00:56:41,Better Offer,0
12375,2019-12-29 11:08:33,Higher Studies,0
11052,2023-01-04 06:56:21,Better Offer,0
31925,2024-04-02 22:55:11,Better Offer,1
41655,2025-05-13 12:31:45,Performance,1
2564,2020-03-10 09:14:37,Personal,1
27347,2024-03-07 12:34:57,Better Offer,0
42186,2020-11-14 00:45:40,Better Offer,1
30204,2024-06-12 09:28:21,Better Offer,0
30891,2019-10-16 12:15:04,Health,0
24257,2020-10-15 09:22:59,Personal,0
41820,2019-08-16 11:12:34,Performance,0
1582,2022-05-22 14:25:13,Better Offer,0
12621,2025-10-26 23:29:47,Health,0
6457,2020-10-13 23:42:24,Performance,0
28710,2019-11-21 20:42:07,Better Offer,0
1630,2023-10-05 18:53:38,Better Offer,0
7868,2023-03-31 05:58:40,Health,1
17903,2020-05-06 10:27:10,Better Offer,0
20875,2025-01-29 07:03:23,Performance,0
9195,2025-01-10 05:00:12,Health,0
16902,2024-11-29 16:18:40,Performance,1
20067,2024-01-13 06:56:37,Better Offer,0
9753,2020-09-03 09:46:10,Better Offer,0
3464,2022-10-18 00:11:25,Better Offer,1
28567,2025-10-12 14:01:23,Better Offer,1
26530,2021-01-10 10:26:07,Better Offer,1
36869,2025-01-24 09:00:12,Better Offer,0
8751,2023-08-18 19:51:01,Relocation,0
14767,2021-06-24 20:20:38,Relocation,0
37717,2021-11-04 12:00:12,Higher Studies,0
4817,2023-03-28 22:01:14,Relocation,0
33098,2021-12-21 16:50:22,Personal,0
4107,2021-10-09 18:58:09,Health,0
20519,2022-04-19 01:45:46,Health,1
5064,2019-07-13 13:13:32,Higher Studies,0
2733,2022-03-07 14:58:14,Higher Studies,0
18632,2020-12-15 14:19:14,Better Offer,0
27878,2022-02-06 16:25:42,Better Offer,1
17076,2025-05-01 15:21:23,Better Offer,0
11369,2024-10-10 04:43:17,Better Offer,1
20609,2024-03-19 03:15:56,Better Offer,1
7238,2020-08-30 21:13:23,Personal,0
39645,2019-12-04 21:56:13,Better Offer,0
14491,2021-05-09 11:26:33,Performance,0
12781,2020-03-13 19:41:54,Relocation,0
6664,2020-12-11 11:48:22,Better Offer,0
13825,2025-03-15 14:32:40,Better Offer,0
9895,2025-01-03 13:24:37,Better Offer,0
12255,2022-10-15 02:02:05,Health,0
39110,2021-01-24 06:04:44,Performance,1
24136,2022-11-27 11:11:02,Better Offer,1
1597,2024-05-23 07:27:28,Better Offer,0
33284,2024-10-27 04:20:45,Personal,1
36621,2020-04-24 03:16:36,Personal,0
28679,2024-03-12 21:50:35,Personal,0
27080,2022-01-09 14:31:38,Personal,0
28180,2024-04-23 03:38:49,Better Offer,0
1866,2021-11-08 04:27:28,Relocation,0
1245,2020-01-30 23:40:09,Higher Studies,0
23621,2024-09-05 07:23:52,Better Offer,0
22759,2022-04-10 10:31:39,Personal,0
15325,2020-08-30 01:19:35,Health,0
24495,2025-10-23 03:59:57,Better Offer,0
37168,2019-09-06 21:24:13,Higher Studies,0
25960,2021-10-13 17:32:27,Better Offer,0
36799,2024-08-04 23:36:49,Better Offer,1
43094,2019-12-01 19:47:36,Relocation,1
36577,2021-09-04 05:00:53,Higher Studies,1
1366,2021-01-06 02:22:35,Relocation,0
34258,2023-08-02 06:24:14,Relocation,0
40453,2025-02-18 04:49:46,Better Offer,0
27865,2025-02-07 22:16:12,Better Offer,0
31954,2019-07-20 05:09:49,Better Offer,0
20819,2024-10-22 20:01:59,Performance,0
3258,2019-11-09 13:08:56,Better Offer,0
14749,2023-09-02 23:39:35,Performance,1
253,2024-05-26 09:14:34,Personal,0
36227,2022-03-29 05:41:20,Relocation,1
32459,2024-07-10 22:16:55,Performance,0
16913,2025-10-20 17:01:04,Higher Studies,0
27547,2024-11-29 21:45:42,Better Offer,1
8199,2022-07-09 12:08:26,Higher Studies,0
19721,2021-07-02 22:00:54,Health,0
10322,2025-07-10 11:57:47,Relocation,0
25280,2021-08-08 12:33:29,Performance,0
12620,2023-07-15 13:17:19,Better Offer,1
22168,2020-04-15 10:11:50,Better Offer,1
18359,2021-12-10 15:40:07,Better Offer,0
32000,2022-05-27 04:53:45,Better Offer,0
26172,2022-02-08 17:28:44,Personal,1
18346,2021-12-26 09:02:57,Performance,0
6767,2024-05-22 09:50:12,Better Offer,1
3308,2021-04-24 21:18:22,Higher Studies,1
12895,2023-12-26 11:03:20,Performance,0
11771,2021-09-27 12:12:20,Relocation,1
1625,2021-12-04 18:00:42,Better Offer,1
28861,2021-12-15 02:34:27,Better Offer,0
25310,2023-10-05 05:02:35,Personal,0
17337,2021-07-28 07:14:57,Better Offer,0
22237,2022-04-08 00:31:34,Better Offer,1
6186,2024-12-09 16:46:17,Higher Studies,0
36106,2023-08-05 19:14:50,Higher Studies,0
35695,2025-10-24 06:47:19,Better Offer,1
21371,2024-03-04 10:29:09,Better Offer,0
4948,2022-06-24 14:50:41,Health,1
22264,2025-08-08 07:34:12,Better Offer,0
11731,2025-10-30 22:07:54,Better Offer,0
6051,2020-03-30 08:07:18,Better Offer,1
31610,2025-09-26 13:22:26,Performance,1
18755,2020-01-10 07:11:56,Relocation,0
30574,2022-05-30 00:53:29,Better Offer,1
22631,2020-01-12 21:03:27,Better Offer,1
41677,2019-11-27 22:34:21,Better Offer,0
23985,2023-04-03 01:43:38,Higher Studies,0
21089,2025-09-22 05:04:50,Relocation,0
40556,2021-11-14 03:15:38,Better Offer,0
37412,2020-03-19 16:46:12,Better Offer,1
33031,2023-07-22 05:57:09,Better Offer,0
3216,2022-01-22 09:44:22,Relocation,0
29357,2022-04-18 20:19:01,Better Offer,0
25593,2024-10-07 04:54:32,Better Offer,0
5394,2024-11-09 02:46:00,Better Offer,0
11291,2022-09-19 20:40:41,Better Offer,0
24552,2021-01-04 15:56:28,Higher Studies,0
27697,2020-03-09 01:10:04,Higher Studies,0
30410,2024-10-12 21:54:08,Performance,1
137,2023-03-03 18:37:04,Better Offer,0
5468,2025-03-05 15:14:40,Better Offer,0
3253,2019-07-10 15:03:34,Performance,1
1069,2024-08-01 12:28:08,Better Offer,0
40001,2021-11-17 16:48:34,Higher Studies,0
25663,2023-10-09 13:44:39,Health,0
7218,2024-11-26 18:12:11,Better Offer,0
35275,2020-10-11 16:19:50,Better Offer,1
17455,2021-08-24 13:30:15,Better Offer,0
6961,2020-06-02 01:33:10,Health,1
40367,2019-11-15 08:13:06,Better Offer,0
21195,2020-08-15 14:41:24,Health,1
10488,2021-11-12 13:10:11,Better Offer,1
4634,2021-01-31 16:36:20,Better Offer,0
37492,2024-04-08 00:03:56,Better Offer,0
19300,2022-08-08 22:24:04,Better Offer,0
19665,2024-03-01 07:43:37,Higher Studies,0
11108,2023-09-21 05:45:28,Better Offer,0
30968,2021-11-03 01:23:54,Personal,1
38925,2021-04-22 08:28:38,Personal,0
78,2020-03-15 17:57:04,Relocation,0
23215,2024-09-17 23:25:03,Performance,1
34651,2021-03-25 16:54:06,Relocation,0
20331,2024-02-02 16:38:52,Better Offer,1
27819,2021-11-04 17:23:20,Performance,0
1657,2020-09-05 00:34:46,Better Offer,0
12722,2022-01-29 22:47:10,Better Offer,0
29073,2022-07-08 21:43:27,Better Offer,0
38513,2023-08-26 17:17:09,Relocation,0
14471,2025-05-28 06:30:27,Health,0
8075,2024-02-23 04:33:20,Better Offer,0
17615,2022-12-13 07:49:48,Health,1
30763,2020-09-04 17:55:41,Better Offer,0
40443,2024-06-22 14:24:28,Health,0
28846,2020-09-12 10:40:23,Performance,1
27990,2024-11-18 07:00:48,Better Offer,1
24437,2022-02-08 03:15:14,Personal,0
2946,2023-06-04 19:48:18,Personal,0
13694,2022-12-23 10:57:36,Performance,0
23854,2022-11-13 06:26:11,Better Offer,0
22615,2023-03-25 15:33:18,Better Offer,1
15726,2023-08-15 18:34:13,Better Offer,0
5284,2023-07-17 04:46:40,Better Offer,0
6952,2020-07-21 10:32:03,Relocation,1
20246,2025-09-12 16:26:51,Better Offer,1
7366,2019-08-31 06:49:54,Relocation,1
2432,2025-03-17 10:33:18,Better Offer,1
5906,2023-04-18 20:42:04,Higher Studies,0
41392,2023-02-07 23:24:15,Better Offer,0
29094,2022-04-13 20:14:28,Personal,0
10293,2020-03-14 20:02:05,Better Offer,1
42536,2023-11-22 13:53:15,Higher Studies,1
36849,2025-02-23 16:34:05,Performance,0
132,2020-10-02 22:01:38,Personal,0
40124,2025-05-07 01:41:40,Relocation,0
2509,2023-09-22 05:30:06,Better Offer,0
41498,2024-08-03 05:05:01,Better Offer,0
42795,2024-09-18 07:03:25,Better Offer,0
30070,2021-05-04 07:14:53,Better Offer,1
36166,2024-02-14 18:27:14,Personal,0
25446,2022-07-15 15:49:28,Better Offer,0
9856,2021-10-07 05:32:46,Personal,0
12446,2025-08-05 12:28:44,Relocation,1
33930,2020-12-08 17:48:09,Personal,0
34790,2024-10-09 20:22:08,Health,0
312,2019-08-27 08:45:10,Better Offer,1
20260,2022-11-10 20:25:24,Better Offer,0
7450,2024-06-27 12:35:33,Performance,0
27802,2024-06-11 19:46:35,Personal,1
6852,2023-09-28 17:35:02,Better Offer,0
5472,2024-05-07 13:55:48,Better Offer,0
4749,2020-02-14 14:44:46,Better Offer,0
33544,2024-01-14 19:48:39,Better Offer,0
29100,2023-07-26 18:54:03,Personal,0
10124,2021-01-23 13:00:49,Better Offer,0
35731,2021-06-15 05:25:54,Higher Studies,0
20064,2020-09-18 05:42:04,Performance,0
29335,2020-10-10 23:11:04,Personal,0
3392,2022-08-17 16:46:51,Better Offer,0
40755,2025-09-19 11:04:42,Relocation,1
39335,2021-11-16 15:04:14,Better Offer,0
42429,2025-03-03 04:03:39,Better Offer,0
21594,2019-12-07 06:24:39,Performance,0
22789,2024-09-07 13:50:47,Better Offer,0
16532,2025-04-01 13:09:06,Relocation,1
28012,2023-04-26 10:24:45,Better Offer,0
12400,2023-02-05 04:24:52,Better Offer,1
5577,2025-01-11 09:17:49,Relocation,0
14567,2022-07-22 03:16:02,Better Offer,1
30863,2020-09-20 14:29:34,Health,1
11009,2020-11-04 17:30:11,Better Offer,0
6048,2024-01-20 02:48:59,Better Offer,0
31546,2020-04-27 02:58:34,Better Offer,0
13588,2021-02-15 15:40:17,Higher Studies,0
29049,2025-08-31 22:16:28,Performance,0
17237,2019-11-19 22:23:41,Performance,0
39033,2025-09-12 04:53:26,Better Offer,0
32590,2021-02-26 06:01:39,Better Offer,0
9318,2020-10-13 14:42:02,Performance,0
5073,2021-08-20 04:47:27,Better Offer,0
40408,2024-04-18 02:04:45,Better Offer,0
11719,2021-06-22 10:57:28,Performance,0
3687,2019-09-15 16:06:12,Better Offer,0
16257,2024-04-23 06:44:31,Health,0
42099,2019-07-24 01:09:48,Higher Studies,0
19449,2022-01-09 12:29:05,Relocation,0
18296,2023-04-15 13:37:12,Performance,1
3357,2023-01-28 06:30:51,Personal,0
11373,2022-08-26 17:01:57,Personal,1
24156,2025-01-29 04:53:54,Better Offer,0
25101,2023-01-21 16:49:15,Better Offer,1
700,2023-05-03 12:05:47,Better Offer,0
22377,2019-12-06 07:47:30,Relocation,0
10971,2022-03-17 14:01:14,Personal,0
25077,2020-06-14 05:49:30,Performance,0
28694,2022-03-01 01:52:58,Personal,0
26340,2019-08-03 02:31:50,Better Offer,0
42727,2024-03-22 15:36:56,Personal,0
17400,2024-05-21 12:41:54,Personal,1
34452,2021-03-14 07:57:30,Personal,0
25448,2024-06-10 05:58:14,Relocation,0
8742,2020-11-14 03:53:40,Health,0
18649,2023-03-15 22:18:16,Personal,0
1689,2021-10-18 00:34:53,Relocation,0
35173,2022-06-15 18:20:31,Higher Studies,0
31807,2022-07-11 22:43:54,Performance,0
26083,2020-09-17 03:24:30,Higher Studies,0
40596,2024-09-09 23:41:43,Higher Studies,0
38897,2020-08-07 14:33:41,Relocation,0
6162,2022-12-13 20:11:57,Relocation,0
1528,2020-03-24 06:02:03,Health,0
14725,2023-09-15 06:31:20,Health,0
40771,2019-10-19 08:18:47,Better Offer,0
896,2022-10-27 11:08:46,Better Offer,0
8662,2025-10-25 12:15:14,Performance,0
10584,2022-11-27 15:15:32,Better Offer,0
12005,2022-11-16 20:29:11,Better Offer,0
24030,2019-07-31 10:40:28,Personal,1
22271,2024-04-07 06:41:44,Personal,0
38609,2025-06-09 14:21:04,Better Offer,1
39565,2024-07-05 01:20:47,Better Offer,0
31372,2021-08-30 01:04:54,Better Offer,0
38371,2024-04-30 03:24:21,Better Offer,0
29133,2020-06-17 03:03:58,Better Offer,0
16039,2021-12-07 14:22:06,Better Offer,1
1457,2019-11-27 01:55:04,Better Offer,0
12711,2021-11-18 11:09:24,Higher Studies,1
21706,2025-08-25 05:57:50,Relocation,0
5025,2022-02-13 01:16:27,Better Offer,1
