interview_id,application_id,round,score,outcome,interview_date
65847,87150,Screening,9.8,Advanced,2019-01-20 10:21:51
26836,13620,Technical 2,2.12,Rejected,2019-01-20 11:19:47
166927,55168,Technical 1,3.54,Advanced,2019-01-20 12:39:50
119841,363924,Managerial,5.49,Advanced,2019-01-20 12:46:36
174057,30176,Managerial,4.56,Rejected,2019-01-20 13:06:08
138834,15362,Technical 2,1.39,On Hold,2019-01-20 13:08:47
122769,17218,Technical 2,9.85,Offered,2019-01-20 13:23:58
155191,341100,Technical 2,4.81,Advanced,2019-01-20 13:41:08
147059,158844,Technical 2,9.84,Advanced,2019-01-20 14:08:40
92170,219762,Technical 2,4.74,Offered,2019-01-20 14:09:26
62019,106393,Screening,4.99,Advanced,2019-01-20 14:58:28
168534,88683,Technical 1,2.61,Rejected,2019-01-20 15:09:37
186311,169322,Screening,5.88,On Hold,2019-01-20 15:32:17
123394,4088,Technical 1,6.18,Advanced,2019-01-20 15:35:08
92038,123440,Technical 1,1.9,Rejected,2019-01-20 15:47:54
142702,3626,Technical 1,9.53,Rejected,2019-01-20 16:08:33
102791,352621,Screening,3.08,Offered,2019-01-20 16:08:39
104749,231783,Technical 1,6.93,Rejected,2019-01-20 16:16:23
52787,100608,Technical 1,1.58,Rejected,2019-01-20 16:21:31
32120,99979,Technical 2,9.04,Advanced,2019-01-20 16:23:21
21587,85483,Technical 1,1.92,Rejected,2019-01-20 16:24:20
160843,81742,Technical 2,6.15,Rejected,2019-01-20 17:12:09
81939,390425,Technical 2,9.0,Advanced,2019-01-20 17:23:55
9187,235698,Screening,4.8,Advanced,2019-01-20 17:52:40
64326,373174,Screening,4.07,Advanced,2019-01-20 18:09:36
34767,242710,HR,8.14,Advanced,2019-01-20 18:21:56
144796,126728,Managerial,6.16,Rejected,2019-01-20 18:27:07
30069,264270,Technical 1,5.0,Offered,2019-01-20 18:59:29
49441,129024,Screening,8.99,Advanced,2019-01-20 18:59:34
90742,97177,Technical 1,5.62,Rejected,2019-01-20 19:15:26
88290,2985,Technical 1,0.36,Offered,2019-01-20 19:27:31
4048,131463,Technical 1,7.02,Offered,2019-01-20 20:26:48
37386,261547,Screening,8.24,Offered,2019-01-20 20:26:56
110011,191159,Technical 2,7.95,Advanced,2019-01-20 20:33:36
156412,258549,Screening,9.27,Advanced,2019-01-20 20:36:30
29444,191264,Screening,4.21,Rejected,2019-01-20 20:42:42
30834,228713,HR,3.73,Advanced,2019-01-20 21:59:07
23735,143996,Screening,8.39,Advanced,2019-01-20 22:04:04
69159,289378,Screening,0.4,Advanced,2019-01-20 22:19:52
7436,325148,Managerial,0.23,Rejected,2019-01-20 22:50:09
135205,371144,Technical 1,0.81,Advanced,2019-01-20 23:54:25
128591,371799,Technical 1,0.17,Rejected,2019-01-20 23:55:33
117119,125199,Technical 2,3.68,On Hold,2019-01-21 00:24:17
191496,399899,Technical 1,0.46,On Hold,2019-01-21 00:24:17
154703,70277,Managerial,6.66,Rejected,2019-01-21 00:27:37
112855,199995,Screening,7.11,Advanced,2019-01-21 00:34:16
19972,145488,Technical 2,6.14,On Hold,2019-01-21 00:46:52
133614,339908,Screening,0.87,Rejected,2019-01-21 00:47:29
3444,378504,Technical 1,8.05,Offered,2019-01-21 01:08:00
114506,206084,Technical 2,4.54,Advanced,2019-01-21 01:19:53
26250,250594,Technical 2,2.79,Rejected,2019-01-21 01:29:03
3569,42372,Screening,3.91,Advanced,2019-01-21 01:30:41
37326,232722,Technical 1,9.49,Rejected,2019-01-21 01:52:25
9642,86299,Technical 1,7.58,On Hold,2019-01-21 01:54:20
103478,356148,Managerial,3.88,Rejected,2019-01-21 02:03:06
21704,386637,Technical 2,9.1,Rejected,2019-01-21 02:03:35
62656,284512,Screening,7.6,Advanced,2019-01-21 02:09:06
89014,98720,Screening,4.21,Advanced,2019-01-21 02:20:19
99331,118079,Managerial,8.75,Advanced,2019-01-21 02:43:52
169213,365575,Technical 1,6.91,Offered,2019-01-21 02:44:18
149471,300808,Technical 1,5.29,Rejected,2019-01-21 02:44:23
119618,258383,Screening,0.88,Offered,2019-01-21 03:03:00
189917,225973,Technical 1,7.17,Rejected,2019-01-21 03:20:04
32195,317575,Managerial,9.47,Rejected,2019-01-21 03:20:50
197342,290666,Technical 2,6.11,Advanced,2019-01-21 04:07:24
117136,286022,Technical 2,9.63,Rejected,2019-01-21 04:30:05
68749,222744,Screening,5.74,Rejected,2019-01-21 05:01:04
142968,202562,Technical 2,0.28,Advanced,2019-01-21 05:09:19
46002,77941,Screening,1.95,Rejected,2019-01-21 05:22:44
42889,91124,Technical 1,6.39,Rejected,2019-01-21 05:38:44
88837,223801,Screening,0.47,Rejected,2019-01-21 06:07:28
35441,43450,Technical 1,3.98,Advanced,2019-01-21 06:08:35
146304,17739,Technical 1,2.57,Advanced,2019-01-21 06:15:01
72446,48369,Technical 1,6.27,Advanced,2019-01-21 06:48:16
143160,325312,HR,1.06,Rejected,2019-01-21 07:10:46
39545,96070,Technical 2,3.89,Rejected,2019-01-21 07:10:52
182297,211841,Technical 1,6.68,Rejected,2019-01-21 07:23:13
113673,300359,Technical 1,7.71,Offered,2019-01-21 07:35:11
5404,209130,Technical 1,6.1,Advanced,2019-01-21 07:44:10
123737,19553,Screening,5.99,On Hold,2019-01-21 08:16:01
25392,369666,Managerial,2.25,Advanced,2019-01-21 08:20:55
91981,307031,Screening,2.05,Advanced,2019-01-21 08:32:03
155869,54721,Screening,6.47,Offered,2019-01-21 08:52:57
92016,262240,HR,7.06,Rejected,2019-01-21 09:17:51
22986,300179,Technical 1,0.82,Advanced,2019-01-21 09:38:37
95642,3355,Technical 2,9.06,Rejected,2019-01-21 09:44:04
121117,46552,Technical 2,8.6,Rejected,2019-01-21 10:15:50
20324,98702,Managerial,1.46,Advanced,2019-01-21 10:23:39
140696,269453,Technical 2,5.21,Advanced,2019-01-21 10:41:13
183633,291781,HR,2.38,Advanced,2019-01-21 10:41:31
78939,136773,Screening,3.62,On Hold,2019-01-21 10:51:18
190081,68206,Technical 1,8.99,Rejected,2019-01-21 11:01:55
37445,120358,Technical 1,1.56,Rejected,2019-01-21 11:04:29
41454,326395,Technical 1,4.42,Rejected,2019-01-21 11:14:41
158731,268793,Screening,5.17,Advanced,2019-01-21 11:19:35
66232,286529,Screening,2.67,Rejected,2019-01-21 12:11:43
103896,295280,HR,3.35,Rejected,2019-01-21 12:44:36
115924,284745,Technical 1,4.86,Advanced,2019-01-21 12:47:07
168613,100160,Screening,3.4,Rejected,2019-01-21 12:49:19
6858,46276,Technical 2,7.05,Rejected,2019-01-21 13:05:29
148484,113318,Technical 1,7.92,Offered,2019-01-21 13:08:19
109248,323675,Technical 1,6.52,Rejected,2019-01-21 13:22:12
130895,115354,Screening,8.54,Advanced,2019-01-21 13:23:53
79475,115105,Screening,1.02,Offered,2019-01-21 14:28:36
101522,394943,Technical 1,1.38,Advanced,2019-01-21 14:36:12
46631,151980,HR,8.35,Rejected,2019-01-21 15:12:01
69743,63499,Technical 1,1.97,Rejected,2019-01-21 15:21:25
150738,192883,Technical 2,1.14,Advanced,2019-01-21 15:43:05
169576,324482,Technical 1,3.23,Advanced,2019-01-21 15:57:36
121251,288993,Managerial,7.39,Advanced,2019-01-21 16:25:42
73709,98789,Screening,7.87,Offered,2019-01-21 16:33:26
80399,240622,Managerial,1.12,Rejected,2019-01-21 16:35:58
154241,162997,Technical 1,7.08,Rejected,2019-01-21 16:47:10
99609,63222,Screening,0.48,Rejected,2019-01-21 17:45:18
42267,6330,Screening,6.79,Rejected,2019-01-21 17:45:29
34318,122566,Screening,1.55,Advanced,2019-01-21 17:49:49
146494,30973,Screening,0.99,Advanced,2019-01-21 17:50:59
53951,238373,Technical 2,5.05,Offered,2019-01-21 17:52:34
116845,321329,Screening,7.3,Rejected,2019-01-21 18:03:29
94630,311982,Technical 2,5.25,Rejected,2019-01-21 18:38:09
88864,332327,Screening,1.79,Rejected,2019-01-21 18:43:41
155147,277153,Screening,7.55,On Hold,2019-01-21 18:51:26
58889,336199,Technical 1,6.06,Rejected,2019-01-21 18:58:19
6882,9723,Technical 1,6.19,On Hold,2019-01-21 19:21:39
165939,140356,Screening,3.71,Rejected,2019-01-21 20:01:48
61429,78330,Technical 1,1.18,Advanced,2019-01-21 20:04:09
38459,392440,Technical 1,9.71,Rejected,2019-01-21 20:27:02
134168,71226,HR,0.02,Advanced,2019-01-21 20:33:29
119975,184208,Technical 1,7.52,Offered,2019-01-21 20:59:50
97786,200479,HR,4.58,Offered,2019-01-21 21:05:01
136884,68525,Screening,0.32,Rejected,2019-01-21 21:40:56
100801,113984,Screening,1.72,Rejected,2019-01-21 21:48:40
13937,362715,Technical 1,8.31,Rejected,2019-01-21 22:34:26
180753,380818,Screening,4.59,Advanced,2019-01-21 22:50:15
19131,315892,Technical 1,4.81,Rejected,2019-01-21 23:09:45
115187,221739,Technical 2,6.81,Advanced,2019-01-21 23:35:03
100875,144597,Technical 1,7.7,On Hold,2019-01-21 23:36:18
40188,299265,HR,4.48,Rejected,2019-01-21 23:50:07
187557,33106,Technical 1,2.06,Advanced,2019-01-21 23:51:08
166014,312075,Managerial,7.34,Offered,2019-01-21 23:52:10
18443,85343,Screening,5.77,Advanced,2019-01-22 00:02:56
81539,47821,Screening,2.1,Advanced,2019-01-22 00:05:08
194682,42633,Screening,5.57,Offered,2019-01-22 00:37:16
176035,250775,Technical 1,9.01,Rejected,2019-01-22 00:58:00
144609,40286,Technical 1,3.5,Rejected,2019-01-22 01:18:57
49775,103753,Technical 1,2.01,Rejected,2019-01-22 01:30:02
56326,79060,Managerial,1.99,Advanced,2019-01-22 01:35:44
59887,120692,Screening,6.17,Rejected,2019-01-22 01:39:42
7453,14774,Technical 1,7.28,On Hold,2019-01-22 02:03:50
180311,274363,Technical 2,2.38,Rejected,2019-01-22 02:56:05
60201,81789,Screening,5.98,Advanced,2019-01-22 03:02:58
27448,65693,Screening,8.64,Rejected,2019-01-22 03:40:46
185692,169615,Technical 1,8.61,Rejected,2019-01-22 04:04:41
152168,71765,Technical 2,8.39,On Hold,2019-01-22 04:24:32
174103,64106,Technical 1,2.87,Rejected,2019-01-22 04:33:20
125780,256566,Technical 2,7.49,Offered,2019-01-22 04:47:15
32765,207837,Screening,3.41,Rejected,2019-01-22 04:52:10
14160,185493,Screening,7.87,Advanced,2019-01-22 05:09:16
141637,26580,Managerial,1.83,Offered,2019-01-22 05:25:23
153844,191830,Technical 2,9.49,Advanced,2019-01-22 05:55:21
112665,333777,Screening,1.21,Advanced,2019-01-22 05:58:09
197901,315930,Screening,1.76,Advanced,2019-01-22 06:09:01
110364,98817,Screening,1.65,Rejected,2019-01-22 06:17:00
58226,65404,Technical 1,7.32,Rejected,2019-01-22 06:22:05
94144,315652,Managerial,6.0,Offered,2019-01-22 06:29:06
170767,196255,Screening,6.67,Rejected,2019-01-22 06:34:08
60100,148861,Screening,1.51,On Hold,2019-01-22 06:37:41
187361,292856,Technical 1,6.79,Advanced,2019-01-22 07:05:52
9248,84528,Screening,0.38,On Hold,2019-01-22 08:13:43
78739,151673,Technical 2,9.74,Rejected,2019-01-22 08:27:19
74799,282295,Technical 1,9.58,Advanced,2019-01-22 09:02:08
68060,51516,Technical 1,5.01,Rejected,2019-01-22 09:22:17
14113,303481,HR,0.82,Offered,2019-01-22 09:28:48
10320,293777,Technical 1,6.87,Rejected,2019-01-22 09:31:18
193078,295738,Managerial,7.39,Rejected,2019-01-22 09:35:16
5041,388322,Screening,5.83,Rejected,2019-01-22 09:48:22
40660,241935,Screening,7.16,Rejected,2019-01-22 09:58:38
6992,93059,Technical 2,4.43,Rejected,2019-01-22 10:04:39
99264,202427,Technical 1,4.57,Rejected,2019-01-22 10:16:46
10793,211385,Technical 2,3.89,Rejected,2019-01-22 10:25:42
28820,215717,Technical 1,6.33,Rejected,2019-01-22 11:00:27
1640,198575,Screening,4.13,Advanced,2019-01-22 11:04:42
143605,49870,Screening,0.63,Rejected,2019-01-22 11:09:33
39876,293771,Screening,5.27,Advanced,2019-01-22 11:18:02
62557,380921,Technical 1,6.43,Rejected,2019-01-22 11:22:10
184496,180300,Screening,0.92,Rejected,2019-01-22 11:49:44
92432,27405,Technical 1,6.93,Advanced,2019-01-22 11:55:02
184206,182372,HR,2.28,Rejected,2019-01-22 12:15:08
184625,376307,Technical 1,8.38,Rejected,2019-01-22 12:19:09
70112,95874,Screening,1.76,Offered,2019-01-22 13:37:35
2,67015,Screening,0.83,Offered,2019-01-22 13:44:29
84199,394526,Managerial,1.9,Rejected,2019-01-22 14:09:41
74380,67129,Technical 1,4.35,Advanced,2019-01-22 14:09:51
107060,134660,Screening,0.64,Advanced,2019-01-22 14:18:14
185267,275796,Technical 1,1.48,Advanced,2019-01-22 14:20:39
66439,383251,Screening,5.71,Advanced,2019-01-22 14:51:54
119562,322234,Technical 2,4.5,Advanced,2019-01-22 15:11:24
74196,224117,HR,5.4,Rejected,2019-01-22 15:25:22
164158,389070,Technical 2,1.94,On Hold,2019-01-22 15:36:08
82099,333830,Technical 1,6.15,Offered,2019-01-22 15:52:43
115314,343359,Technical 1,8.14,Advanced,2019-01-22 16:22:47
100438,34751,Technical 2,3.42,Rejected,2019-01-22 16:31:31
148671,69525,Technical 2,8.25,Rejected,2019-01-22 16:33:55
126059,343626,Technical 1,1.77,Rejected,2019-01-22 16:54:10
32939,305609,Screening,3.73,Offered,2019-01-22 17:15:25
53054,170960,Managerial,8.56,Offered,2019-01-22 17:18:53
140167,352143,Technical 1,0.54,Advanced,2019-01-22 17:33:39
106931,336762,Technical 1,0.52,Rejected,2019-01-22 17:58:15
29578,373595,Technical 1,5.26,On Hold,2019-01-22 18:14:42
57550,342183,HR,1.58,Rejected,2019-01-22 18:51:45
149886,144097,Screening,1.1,On Hold,2019-01-22 19:04:59
5738,370900,Screening,3.24,Offered,2019-01-22 19:19:31
194347,333128,Technical 2,6.11,Rejected,2019-01-22 19:51:24
138036,97544,Technical 1,8.9,Rejected,2019-01-22 20:26:26
64293,216513,Technical 1,5.21,Advanced,2019-01-22 21:16:20
130178,380812,Technical 2,2.81,Offered,2019-01-22 21:47:16
113988,72973,Technical 1,3.49,On Hold,2019-01-22 21:54:29
175954,343306,Technical 2,9.16,Advanced,2019-01-22 22:01:19
4591,59531,Technical 2,4.82,Rejected,2019-01-22 22:53:29
149033,58655,Technical 1,2.22,On Hold,2019-01-22 23:37:02
81749,284488,Screening,1.87,Advanced,2019-01-22 23:50:17
137106,108241,Screening,4.7,Rejected,2019-01-23 00:14:34
132580,190574,Screening,3.47,Rejected,2019-01-23 00:35:07
107716,264066,Screening,1.51,Rejected,2019-01-23 00:41:50
15831,243432,HR,3.81,Rejected,2019-01-23 00:56:39
196379,231435,HR,3.91,Advanced,2019-01-23 01:45:27
188205,250699,HR,0.09,On Hold,2019-01-23 01:51:33
158169,338047,Technical 1,8.74,On Hold,2019-01-23 02:13:24
89620,171019,Technical 2,1.77,On Hold,2019-01-23 02:48:56
187866,16602,HR,5.08,Advanced,2019-01-23 02:52:29
115272,223588,Screening,5.59,Rejected,2019-01-23 03:04:31
165707,116243,Technical 2,9.17,Advanced,2019-01-23 03:06:24
52255,316419,Technical 2,5.92,Offered,2019-01-23 03:09:31
99570,174381,Screening,4.44,Rejected,2019-01-23 03:18:13
48445,273926,Technical 2,4.15,Rejected,2019-01-23 03:45:36
27493,89590,Technical 1,9.58,Advanced,2019-01-23 03:46:55
146997,8821,Managerial,1.5,On Hold,2019-01-23 03:49:07
199080,273726,Technical 1,5.14,Advanced,2019-01-23 03:51:46
22348,30160,Technical 2,0.72,Advanced,2019-01-23 04:00:53
2361,39422,Technical 2,4.62,Offered,2019-01-23 04:05:35
143451,69718,Technical 2,8.31,Offered,2019-01-23 05:21:19
177757,84998,Screening,3.1,Rejected,2019-01-23 06:20:28
67109,299386,Technical 2,2.77,Rejected,2019-01-23 06:29:17
74998,366610,Managerial,2.64,Advanced,2019-01-23 06:36:49
67581,292241,Technical 1,5.35,On Hold,2019-01-23 07:06:26
50728,254976,Screening,9.65,Advanced,2019-01-23 07:45:46
63460,253924,HR,9.19,Advanced,2019-01-23 07:58:24
24252,239207,Technical 1,3.12,Rejected,2019-01-23 08:12:44
121245,282275,HR,6.67,Rejected,2019-01-23 08:22:56
95585,295724,Technical 1,5.86,Advanced,2019-01-23 08:31:05
109664,331069,Managerial,6.41,Rejected,2019-01-23 08:41:12
85493,148637,HR,1.74,Offered,2019-01-23 09:11:34
3167,166343,Screening,8.08,Advanced,2019-01-23 09:18:09
121103,73706,Technical 2,4.68,Rejected,2019-01-23 09:32:55
193328,163151,Technical 2,7.15,Advanced,2019-01-23 09:35:42
44752,197179,Screening,2.22,Rejected,2019-01-23 09:40:17
25243,371902,Technical 1,2.14,Advanced,2019-01-23 09:43:21
111381,169951,Screening,4.09,On Hold,2019-01-23 10:25:40
14719,50636,Screening,7.74,Rejected,2019-01-23 10:29:50
121998,28907,Technical 1,1.33,Rejected,2019-01-23 10:44:38
85817,221958,Technical 2,8.88,Offered,2019-01-23 11:10:53
8362,15743,Screening,3.57,Advanced,2019-01-23 11:14:13
30041,230985,Technical 1,8.44,Rejected,2019-01-23 11:37:06
13134,4196,Screening,6.74,Advanced,2019-01-23 11:37:10
170073,296903,Managerial,2.11,Advanced,2019-01-23 11:37:19
90411,346561,Technical 1,4.97,Rejected,2019-01-23 11:58:27
37327,190151,Technical 1,6.04,Advanced,2019-01-23 13:09:16
66732,307417,Screening,7.18,Rejected,2019-01-23 13:10:12
121186,383117,Managerial,3.82,Offered,2019-01-23 13:27:25
21909,285791,Managerial,6.32,Advanced,2019-01-23 13:43:19
90145,3453,Technical 1,8.82,Rejected,2019-01-23 14:11:25
150889,69780,Technical 1,9.51,Advanced,2019-01-23 15:16:45
65158,32836,Screening,0.37,Advanced,2019-01-23 15:28:24
106874,5084,Managerial,1.01,Rejected,2019-01-23 15:30:41
16958,207021,Technical 1,6.94,On Hold,2019-01-23 15:52:52
85984,106660,Technical 1,6.76,Rejected,2019-01-23 15:59:17
29360,107869,Screening,8.8,On Hold,2019-01-23 16:01:44
155912,367531,Technical 1,4.01,Advanced,2019-01-23 16:08:53
69804,118465,Screening,4.42,Rejected,2019-01-23 17:10:36
59754,290202,Technical 1,2.22,Advanced,2019-01-23 17:47:34
93130,310434,Screening,5.94,Rejected,2019-01-23 19:03:02
23029,147623,HR,3.39,On Hold,2019-01-23 19:10:50
162194,14543,Screening,1.0,Rejected,2019-01-23 19:13:48
110709,343580,Technical 1,3.97,Advanced,2019-01-23 19:34:02
116701,171548,Managerial,2.8,Rejected,2019-01-23 20:18:48
96342,144401,Managerial,9.98,Advanced,2019-01-23 20:32:09
103664,78023,Screening,8.79,Rejected,2019-01-23 20:44:45
112822,371675,Managerial,1.8,Advanced,2019-01-23 21:28:19
73311,263017,Screening,7.33,Rejected,2019-01-23 21:41:42
127458,109033,HR,4.95,On Hold,2019-01-23 21:47:34
41891,299448,Technical 1,9.59,Advanced,2019-01-23 22:17:48
42617,163610,Technical 1,5.82,Advanced,2019-01-23 22:24:44
128752,311221,Screening,5.6,Offered,2019-01-23 22:58:50
80598,217405,Screening,5.4,On Hold,2019-01-23 23:19:21
152068,344878,Technical 1,6.27,Rejected,2019-01-24 00:14:09
193616,236486,Technical 1,6.13,Offered,2019-01-24 00:44:17
14122,64075,HR,4.24,Rejected,2019-01-24 01:10:48
157351,158746,Technical 1,6.66,Advanced,2019-01-24 01:17:15
94892,250234,Technical 2,1.44,Offered,2019-01-24 03:03:24
1690,287661,Screening,8.12,Advanced,2019-01-24 03:08:56
134769,151165,Technical 2,0.02,Advanced,2019-01-24 03:27:15
120965,33545,Screening,8.64,Offered,2019-01-24 03:31:19
97709,246663,Screening,7.87,Advanced,2019-01-24 03:53:15
120226,214081,Managerial,3.55,Advanced,2019-01-24 04:15:55
38437,1501,Technical 2,4.53,On Hold,2019-01-24 04:20:25
156714,29974,Technical 2,4.84,Rejected,2019-01-24 04:32:25
199178,11384,Technical 2,8.45,Advanced,2019-01-24 04:54:22
179181,116730,Technical 1,3.11,Rejected,2019-01-24 05:01:51
63325,167848,Managerial,2.86,Rejected,2019-01-24 05:23:39
13508,304348,Technical 1,1.47,Advanced,2019-01-24 06:26:11
45612,149665,Technical 1,5.01,Rejected,2019-01-24 07:08:17
97338,138051,Technical 2,7.66,Advanced,2019-01-24 07:10:59
900,129204,HR,3.53,Rejected,2019-01-24 07:31:37
171191,6535,Screening,3.85,Advanced,2019-01-24 07:32:44
33583,113115,Managerial,4.38,Rejected,2019-01-24 07:33:07
192400,84827,Technical 2,1.04,Rejected,2019-01-24 07:43:49
49533,305349,HR,8.32,Rejected,2019-01-24 07:54:13
126374,184838,Screening,6.37,Offered,2019-01-24 08:04:18
21886,113253,Technical 2,2.52,Advanced,2019-01-24 08:34:28
102304,388456,Screening,1.09,Advanced,2019-01-24 08:34:49
188005,353578,Screening,1.48,Rejected,2019-01-24 08:47:18
196203,224530,Technical 1,6.78,On Hold,2019-01-24 08:59:47
183190,236288,Technical 1,5.33,Advanced,2019-01-24 09:18:40
44927,191482,Screening,2.78,Rejected,2019-01-24 10:32:25
104638,68942,Screening,8.99,Advanced,2019-01-24 10:34:26
88875,204456,Technical 1,3.21,Advanced,2019-01-24 10:48:53
143105,131160,Technical 1,0.4,Rejected,2019-01-24 11:18:26
72020,11535,Technical 1,8.64,Advanced,2019-01-24 11:46:55
186716,374555,Technical 1,1.81,Offered,2019-01-24 12:13:04
106951,67432,Screening,0.86,Offered,2019-01-24 12:16:05
196799,332289,Technical 2,6.9,Rejected,2019-01-24 12:25:46
137266,315437,Managerial,7.6,Rejected,2019-01-24 12:55:53
170887,16563,Screening,7.47,Rejected,2019-01-24 13:30:47
169420,246114,Technical 1,9.91,Rejected,2019-01-24 13:50:46
103611,59318,Screening,1.29,On Hold,2019-01-24 14:07:41
149864,334912,Screening,9.47,Advanced,2019-01-24 14:17:23
44847,240378,Screening,5.35,Rejected,2019-01-24 14:41:01
155978,96510,Screening,7.08,Advanced,2019-01-24 14:59:28
120542,272840,Technical 2,9.37,Offered,2019-01-24 15:15:16
187835,318548,Screening,7.64,Offered,2019-01-24 15:48:56
180833,50545,Technical 1,3.32,Rejected,2019-01-24 15:55:53
69138,25290,Technical 1,4.13,Advanced,2019-01-24 16:11:53
125794,307584,Screening,2.19,Advanced,2019-01-24 16:12:50
169836,337514,Technical 1,3.83,On Hold,2019-01-24 16:16:25
43235,117207,Technical 1,2.67,Offered,2019-01-24 16:54:47
65619,195478,Managerial,7.06,Rejected,2019-01-24 17:03:09
160555,32615,Screening,1.37,Advanced,2019-01-24 17:04:18
147230,86584,HR,0.97,Rejected,2019-01-24 17:21:25
28922,249066,Technical 1,6.12,Rejected,2019-01-24 17:28:59
28723,20212,Screening,9.28,Advanced,2019-01-24 17:31:12
67590,255211,Technical 1,1.92,Rejected,2019-01-24 19:20:06
174883,288353,Screening,3.9,Rejected,2019-01-24 19:56:23
2359,100812,Screening,2.93,Rejected,2019-01-24 20:04:06
136679,354520,Screening,1.66,Rejected,2019-01-24 20:06:02
12755,108942,Technical 2,9.28,Rejected,2019-01-24 20:07:05
29266,238916,Technical 2,9.72,Advanced,2019-01-24 20:07:08
36788,350618,Screening,8.99,Rejected,2019-01-24 20:12:41
14676,200530,Technical 1,4.71,Advanced,2019-01-24 20:31:43
167159,141876,HR,9.06,Advanced,2019-01-24 20:54:04
11629,112969,Screening,0.39,Rejected,2019-01-24 21:50:30
115630,243779,Screening,6.08,Rejected,2019-01-24 22:04:53
156047,127995,Technical 2,6.13,Advanced,2019-01-24 22:16:29
80994,392735,Technical 1,2.06,Rejected,2019-01-24 22:20:28
44581,7161,Screening,5.97,Rejected,2019-01-24 22:30:24
66697,250562,HR,9.96,Advanced,2019-01-24 22:34:02
8711,171059,Technical 1,9.5,Rejected,2019-01-24 22:45:33
185475,287445,Screening,6.77,On Hold,2019-01-24 22:51:18
52194,274136,Technical 1,5.45,Advanced,2019-01-24 22:59:18
84466,207595,Technical 1,0.83,Advanced,2019-01-24 23:18:05
147435,317086,Technical 2,5.46,On Hold,2019-01-24 23:59:44
24244,346922,Screening,6.77,Offered,2019-01-25 00:35:17
156925,201186,Technical 1,3.67,Rejected,2019-01-25 00:43:36
138332,170349,Screening,7.36,Rejected,2019-01-25 00:47:16
94098,352931,Technical 2,9.5,Advanced,2019-01-25 00:53:58
59610,365722,Screening,7.24,On Hold,2019-01-25 00:56:13
89678,106676,Managerial,5.28,On Hold,2019-01-25 01:22:04
198500,202321,Technical 1,4.63,Rejected,2019-01-25 01:25:43
165979,272095,Technical 1,0.66,Advanced,2019-01-25 01:41:56
6427,356822,Technical 1,4.92,Rejected,2019-01-25 01:51:36
133209,365431,Technical 1,1.42,Advanced,2019-01-25 02:00:23
4372,384704,Technical 2,8.71,On Hold,2019-01-25 02:05:07
163502,350617,Technical 2,7.1,Advanced,2019-01-25 02:05:31
139414,213546,Screening,9.81,Rejected,2019-01-25 02:10:03
4350,262971,Managerial,1.78,Advanced,2019-01-25 02:52:02
77050,212177,Technical 2,1.88,Advanced,2019-01-25 02:57:50
132484,45793,Technical 1,7.1,Advanced,2019-01-25 03:03:42
399,265900,HR,6.67,Advanced,2019-01-25 04:11:31
26999,358920,Screening,7.58,Advanced,2019-01-25 04:26:05
3723,272011,Technical 2,1.88,Rejected,2019-01-25 04:39:08
99418,94836,Technical 1,3.33,Advanced,2019-01-25 04:39:36
129595,358087,Screening,9.39,Advanced,2019-01-25 04:57:34
186139,283177,Managerial,0.48,Rejected,2019-01-25 05:09:49
