employee_id,application_id,company_id,department,role_family,join_date,monthly_salary_lakhs,work_mode,manager_flag
49,359727,117,Support,Data Science,2020-06-09 22:11:01,3.067,Hybrid,0
50,119641,188,Product,Data Science,2022-04-11 23:37:08,1.172,Hybrid,0
51,202956,86,Marketing,Quality Assurance,2023-03-04 04:18:55,2.876,Onsite,0
52,16385,30,Data,Software Engineering,2020-09-26 11:10:56,1.831,Onsite,0
53,31224,154,Sales,Cybersecurity,2025-12-24 05:39:37,2.555,Onsite,0
54,388881,16,Sales,Data Science,2020-03-27 03:34:27,0.661,Hybrid,0
55,74489,54,Finance,Quality Assurance,2019-03-20 03:38:46,3.306,Onsite,0
56,387913,56,Marketing,Cybersecurity,2021-05-02 23:17:51,3.465,Onsite,0
57,39516,16,Sales,Business Analytics,2021-05-14 17:26:01,1.937,Hybrid,0
58,124059,151,Support,Business Analytics,2023-11-12 16:20:44,3.881,Onsite,0
59,79910,35,Sales,Data Engineering,2022-06-22 12:55:02,1.536,Hybrid,0
60,89385,35,Finance,Data Engineering,2023-08-31 20:06:48,1.894,Onsite,0
61,172083,147,Sales,Cybersecurity,2020-08-16 11:49:48,0.671,Onsite,0
62,62668,5,IT,Cybersecurity,2022-12-07 23:41:48,3.972,Hybrid,1
63,204473,99,IT,DevOps,2019-08-03 19:43:27,1.15,Onsite,0
64,377669,109,Product,Data Science,2024-02-16 10:16:24,1.611,Onsite,0
65,72143,36,Finance,Software Engineering,2022-05-24 07:01:59,1.163,Onsite,0
66,129232,101,Data,Data Science,2020-07-03 02:51:11,1.399,Hybrid,1
67,92127,141,HR,Cybersecurity,2025-10-21 06:28:22,3.424,Remote,0
68,137154,184,Marketing,Business Analytics,2019-05-30 01:25:43,3.12,Onsite,0
69,70507,188,Product,Data Engineering,2021-01-31 03:06:59,2.209,Onsite,0
70,83084,72,Sales,Cybersecurity,2024-03-19 18:32:38,1.697,Onsite,0
71,63823,188,Operations,Software Engineering,2024-09-12 17:21:02,0.651,Hybrid,0
72,37263,70,Sales,DevOps,2022-09-14 15:52:04,3.502,Remote,0
73,274745,72,Operations,Product Management,2024-10-09 04:22:31,3.416,Hybrid,0
74,340022,62,Data,Product Management,2021-11-16 03:06:51,1.204,Hybrid,0
75,333778,133,Engineering,Machine Learning,2025-06-05 11:12:39,1.958,Onsite,0
76,122685,67,IT,Software Engineering,2022-08-14 21:29:13,3.674,Onsite,0
77,309390,92,IT,Quality Assurance,2019-03-10 17:46:23,3.593,Onsite,0
78,257536,7,Sales,DevOps,2024-08-27 02:21:29,0.285,Onsite,0
79,128247,45,Finance,Product Management,2019-09-08 12:25:48,0.293,Onsite,0
80,362377,144,Engineering,Data Science,2020-01-10 03:08:22,2.677,Onsite,1
81,27229,145,Finance,Machine Learning,2020-02-03 18:30:06,2.681,Hybrid,0
82,53855,98,Data,Quality Assurance,2020-07-30 03:29:14,3.763,Onsite,1
83,346560,111,Finance,DevOps,2021-01-19 19:05:14,3.205,Onsite,0
84,182745,113,Finance,MLOps,2025-12-16 05:48:44,1.092,Remote,0
85,226298,49,Marketing,Machine Learning,2021-10-02 17:51:48,0.64,Hybrid,0
86,29162,152,Operations,Data Science,2025-12-30 17:21:09,3.265,Onsite,0
87,17683,54,IT,Data Science,2025-12-22 09:34:32,3.696,Onsite,0
88,202906,168,IT,Software Engineering,2024-04-30 18:41:44,1.075,Onsite,0
89,324857,129,Operations,Business Analytics,2021-05-12 17:56:23,0.751,Hybrid,0
90,192109,166,Product,DevOps,2023-11-20 21:04:12,2.214,Onsite,0
91,343027,47,Finance,Product Management,2023-11-07 09:57:26,3.927,Onsite,0
92,355034,136,Data,Data Science,2025-12-29 11:01:42,2.209,Onsite,0
93,84950,47,HR,MLOps,2022-08-29 08:51:56,0.387,Onsite,0
94,251988,5,Marketing,Cybersecurity,2019-10-08 10:43:05,2.626,Onsite,0
95,194139,154,Engineering,Quality Assurance,2020-12-05 10:49:38,1.238,Hybrid,0
96,341951,143,Support,Cybersecurity,2022-08-29 19:20:19,1.198,Onsite,0
97,8238,111,Marketing,DevOps,2021-06-09 07:46:42,3.607,Onsite,0
98,148649,85,IT,Business Analytics,2024-03-10 12:41:35,3.853,Remote,1
99,235933,135,Operations,Business Analytics,2022-10-16 16:51:47,3.023,Onsite,0
100,394997,125,Marketing,Machine Learning,2024-02-09 05:14:12,0.928,Onsite,0
101,417,79,Finance,Product Management,2021-04-22 00:32:43,1.622,Onsite,0
102,71696,143,Marketing,Cybersecurity,2025-06-28 09:13:48,0.805,Remote,0
103,104442,96,Engineering,Cybersecurity,2019-12-28 04:50:50,1.697,Hybrid,1
104,56401,185,IT,Quality Assurance,2019-04-22 12:21:21,2.312,Onsite,1
105,285454,30,Operations,Machine Learning,2020-05-05 11:44:23,1.039,Onsite,0
106,264792,94,Support,Data Engineering,2024-05-20 04:02:19,0.296,Onsite,0
107,128835,72,Finance,Product Management,2019-10-27 16:38:47,3.778,Hybrid,0
108,349880,145,Data,MLOps,2024-08-18 19:00:11,0.934,Onsite,0
109,101165,68,Product,Machine Learning,2025-01-05 07:17:28,2.176,Remote,0
110,282047,194,Marketing,Business Analytics,2020-06-02 01:12:12,2.946,Hybrid,0
111,359622,176,Data,Business Analytics,2024-03-07 10:26:18,3.961,Onsite,0
112,174699,31,Data,Business Analytics,2023-01-10 18:38:07,3.84,Onsite,0
113,235892,100,HR,Quality Assurance,2019-09-23 09:54:01,3.131,Remote,0
114,29196,119,Support,Business Analytics,2025-09-02 05:30:12,0.522,Onsite,0
115,33647,14,Sales,Product Management,2020-10-24 14:46:59,2.281,Hybrid,0
116,227414,44,Sales,Software Engineering,2019-12-26 03:50:40,1.341,Onsite,0
117,221727,139,HR,Data Science,2020-08-24 15:16:25,1.682,Onsite,0
118,194211,128,Engineering,Software Engineering,2019-03-20 05:28:28,1.916,Remote,0
119,252115,60,Finance,DevOps,2019-10-07 06:09:06,1.066,Onsite,0
120,354956,186,Finance,Machine Learning,2024-08-08 09:43:02,1.598,Onsite,0
121,189227,26,Marketing,Data Science,2019-11-21 18:26:15,3.045,Hybrid,0
122,16892,125,Product,Product Management,2026-01-30 15:34:14,1.521,Onsite,0
123,323974,92,Finance,Software Engineering,2021-02-14 01:03:23,2.148,Onsite,0
124,249819,19,Finance,MLOps,2025-03-13 22:13:10,1.236,Hybrid,0
125,276712,35,Data,Data Science,2022-06-04 14:48:11,2.362,Remote,0
126,392663,70,Data,Machine Learning,2020-12-18 05:15:56,1.634,Onsite,0
127,287863,138,Support,Data Science,2025-07-16 22:13:37,1.802,Onsite,1
128,213658,162,Marketing,MLOps,2024-05-30 04:43:29,3.363,Onsite,0
129,246743,197,Engineering,Quality Assurance,2019-11-23 09:13:32,1.354,Onsite,0
130,290431,13,Product,Software Engineering,2025-06-08 05:38:22,0.957,Onsite,0
131,183730,3,Support,Cybersecurity,2025-06-26 20:52:32,2.725,Hybrid,1
132,126302,57,Engineering,DevOps,2023-08-31 20:10:59,3.837,Remote,0
133,358021,45,HR,Product Management,2021-01-11 10:13:05,1.126,Onsite,0
134,41742,4,Operations,Quality Assurance,2023-06-17 18:11:55,2.358,Hybrid,1
135,57849,89,Sales,DevOps,2025-01-12 15:50:55,2.814,Hybrid,0
136,91539,81,Operations,Data Science,2026-02-10 00:24:54,0.765,Onsite,0
137,173831,9,Engineering,DevOps,2023-09-25 07:32:51,1.308,Onsite,1
138,340644,197,Marketing,Data Engineering,2024-03-14 11:06:00,2.26,Onsite,0
139,372649,129,HR,MLOps,2023-03-27 11:09:39,0.693,Hybrid,0
140,321995,35,Product,Cybersecurity,2024-09-05 05:04:55,3.145,Hybrid,0
141,343062,20,IT,Business Analytics,2024-06-06 23:15:33,0.854,Hybrid,0
142,16604,183,Engineering,Software Engineering,2021-03-12 16:31:53,1.13,Remote,0
143,20243,19,Operations,Business Analytics,2022-10-27 18:36:07,1.868,Hybrid,0
144,333470,199,Finance,DevOps,2026-02-05 15:06:36,0.799,Onsite,0
145,2674,162,Finance,Machine Learning,2024-06-07 18:34:14,3.983,Onsite,0
146,104134,18,Marketing,Software Engineering,2024-12-14 08:14:32,1.146,Onsite,1
147,47905,146,Engineering,Business Analytics,2023-03-19 07:57:42,1.338,Onsite,0
148,55689,9,HR,Product Management,2022-11-04 13:21:39,2.352,Hybrid,0
149,12644,126,IT,Quality Assurance,2021-08-27 03:39:35,1.234,Onsite,0
150,320340,52,Sales,Business Analytics,2019-06-16 12:17:44,2.092,Hybrid,0
151,346638,148,Data,Product Management,2026-01-05 22:57:36,2.809,Onsite,0
152,148041,77,Marketing,Cybersecurity,2025-04-06 00:39:25,2.079,Onsite,0
153,97982,2,Operations,Business Analytics,2022-01-21 00:55:05,3.631,Hybrid,0
154,325898,5,HR,MLOps,2024-12-11 05:37:56,2.858,Onsite,0
155,219115,109,Product,Product Management,2020-05-16 04:43:02,2.326,Onsite,0
156,254852,59,HR,Software Engineering,2022-11-26 20:55:36,2.414,Hybrid,0
157,265964,135,HR,Software Engineering,2020-10-03 12:47:02,2.537,Onsite,0
158,283711,63,Sales,Business Analytics,2023-11-08 09:54:40,0.527,Hybrid,0
159,155283,3,Product,Quality Assurance,2023-02-14 02:44:07,0.956,Onsite,0
160,247935,26,Data,Data Science,2024-05-25 17:16:56,3.02,Hybrid,0
161,356530,41,Product,MLOps,2019-07-03 18:02:54,1.812,Onsite,0
162,106415,88,HR,Quality Assurance,2022-01-17 14:25:45,1.242,Onsite,0
163,275736,175,Marketing,Machine Learning,2022-03-28 20:20:14,1.011,Onsite,0
164,308089,32,IT,Software Engineering,2024-03-06 22:42:48,1.002,Onsite,1
165,159703,107,Marketing,Cybersecurity,2020-12-26 11:56:26,2.605,Onsite,0
166,369140,90,IT,Quality Assurance,2021-02-18 02:58:08,3.557,Onsite,0
167,380926,56,Support,Data Science,2024-07-21 17:25:42,2.095,Onsite,0
168,163325,44,Product,Data Engineering,2023-08-12 19:43:06,3.338,Onsite,0
169,312875,20,Data,DevOps,2019-04-15 18:34:00,2.488,Remote,0
170,390191,170,Engineering,Product Management,2019-12-06 03:39:31,2.125,Onsite,0
171,285979,139,HR,DevOps,2019-06-05 08:12:18,2.353,Onsite,0
172,147591,113,Product,Quality Assurance,2024-08-25 10:56:27,1.695,Onsite,0
173,30063,17,Support,MLOps,2020-11-15 17:09:02,2.566,Onsite,1
174,147265,121,Product,Product Management,2024-10-23 18:36:07,2.45,Hybrid,0
175,174973,116,IT,MLOps,2020-09-17 16:28:46,2.884,Onsite,0
176,144101,100,Product,Quality Assurance,2025-06-30 15:43:53,3.662,Onsite,0
177,322730,153,Finance,Business Analytics,2024-12-29 09:36:36,0.774,Onsite,1
178,145810,135,Product,Software Engineering,2019-05-19 11:35:59,1.594,Onsite,0
179,220405,56,Product,Business Analytics,2024-01-20 08:58:15,0.364,Onsite,0
180,106212,16,IT,MLOps,2020-11-27 16:25:53,1.662,Onsite,0
181,263897,114,Marketing,Software Engineering,2021-11-07 05:42:03,1.785,Hybrid,0
182,196272,104,IT,Software Engineering,2023-06-04 05:58:35,2.654,Onsite,0
183,346537,58,Support,MLOps,2022-04-05 19:50:14,0.293,Onsite,0
184,161541,88,Operations,Cybersecurity,2020-03-16 07:10:20,0.728,Onsite,0
185,8774,19,Sales,Quality Assurance,2021-11-25 02:53:56,3.358,Hybrid,0
186,350985,107,Support,DevOps,2022-06-12 10:19:36,1.73,Onsite,0
187,141365,13,Finance,Software Engineering,2020-08-10 22:54:27,2.132,Hybrid,0
188,354120,174,IT,Data Engineering,2024-07-08 17:14:09,1.658,Onsite,0
189,342705,93,Product,Business Analytics,2021-03-23 23:06:54,0.616,Onsite,0
190,340797,54,IT,Data Science,2021-04-08 23:23:26,1.804,Remote,0
191,146367,140,Finance,Cybersecurity,2021-06-29 16:38:46,1.22,Onsite,0
192,136476,93,Support,Data Engineering,2022-01-23 02:27:55,1.347,Onsite,0
193,301417,83,Engineering,Data Science,2021-07-08 17:57:54,3.895,Remote,0
194,67723,76,Support,Data Science,2025-03-29 11:29:02,3.656,Hybrid,0
195,305694,139,Sales,Cybersecurity,2025-11-23 15:16:34,2.784,Hybrid,0
196,70865,177,Product,Product Management,2023-05-20 06:45:47,0.851,Onsite,0
197,309931,133,IT,Business Analytics,2022-02-02 10:12:13,3.303,Onsite,0
198,283988,90,Sales,Data Science,2019-10-08 21:55:31,0.962,Onsite,0
199,38445,104,Product,Data Engineering,2022-06-12 10:39:49,2.273,Onsite,0
200,165375,77,Sales,Data Science,2024-05-12 10:06:26,2.639,Hybrid,0
201,99723,12,Product,Quality Assurance,2019-08-01 13:57:08,0.439,Onsite,0
202,274402,144,Finance,DevOps,2025-06-04 18:38:46,1.983,Onsite,0
203,311524,46,HR,Cybersecurity,2021-02-22 19:47:59,1.431,Hybrid,0
204,198473,36,HR,Machine Learning,2023-12-20 22:01:21,1.476,Onsite,0
205,180799,34,HR,Business Analytics,2023-11-29 16:24:03,1.124,Hybrid,0
206,68029,116,Data,Product Management,2019-04-21 03:52:46,1.661,Remote,0
207,247928,5,Product,Quality Assurance,2024-10-03 16:52:15,1.279,Onsite,0
208,72652,79,Operations,MLOps,2022-11-29 00:40:08,1.291,Onsite,0
209,337718,30,Marketing,Quality Assurance,2020-09-25 17:01:01,3.417,Onsite,0
210,318835,60,Finance,Quality Assurance,2025-04-13 01:27:51,1.702,Onsite,1
211,340529,21,Product,DevOps,2023-04-06 13:19:12,0.9,Remote,0
212,217143,151,Marketing,Machine Learning,2021-06-08 07:55:49,3.385,Hybrid,0
213,221161,69,Engineering,Business Analytics,2023-05-02 02:04:11,1.462,Onsite,0
214,106692,124,IT,Quality Assurance,2025-09-25 13:40:01,3.229,Remote,0
215,42481,143,Finance,Data Science,2022-02-06 20:22:47,3.783,Onsite,1
216,139576,55,Support,Business Analytics,2021-07-13 10:50:58,0.595,Onsite,0
217,96480,106,Product,Data Science,2024-04-24 07:59:53,3.328,Onsite,0
218,273487,55,Engineering,Product Management,2019-07-16 04:10:58,0.675,Hybrid,0
219,205153,58,Product,DevOps,2020-11-19 17:15:25,0.745,Hybrid,0
220,42933,7,Engineering,Data Science,2025-02-15 10:47:18,1.239,Hybrid,0
221,225232,23,Support,Software Engineering,2025-12-25 22:39:17,2.528,Onsite,0
222,44017,33,Marketing,Business Analytics,2019-05-30 13:50:07,1.27,Onsite,0
223,321686,35,Support,MLOps,2019-07-03 01:46:50,3.759,Onsite,0
224,172460,185,Product,Quality Assurance,2024-09-09 06:31:12,3.318,Remote,1
225,129228,198,IT,Cybersecurity,2020-10-14 23:38:35,3.592,Remote,0
226,213461,43,Product,Software Engineering,2021-01-24 01:03:27,3.624,Onsite,1
227,337484,134,Data,Software Engineering,2020-06-04 11:33:47,0.555,Onsite,0
228,45751,99,Marketing,Data Science,2019-08-12 17:00:59,2.585,Remote,0
229,17385,40,Finance,Product Management,2023-11-22 21:57:45,3.773,Onsite,0
230,195043,20,Sales,Data Engineering,2022-04-27 18:34:37,1.14,Hybrid,0
231,224740,136,Sales,Business Analytics,2025-03-18 00:07:25,1.178,Onsite,0
232,292467,199,Finance,Quality Assurance,2021-02-18 14:30:44,1.435,Onsite,0
233,205467,96,Finance,Software Engineering,2019-10-12 03:04:27,3.753,Onsite,0
234,137623,13,IT,Software Engineering,2022-04-10 22:22:49,2.693,Remote,0
235,396549,146,Engineering,Product Management,2025-09-07 02:52:46,3.097,Hybrid,0
236,137872,195,Data,Product Management,2019-12-11 20:06:23,3.392,Onsite,0
237,207879,107,Finance,DevOps,2022-02-08 02:16:57,2.8,Onsite,0
238,203223,49,Data,DevOps,2020-04-04 14:49:47,3.934,Hybrid,0
239,190179,67,Support,MLOps,2021-12-05 21:58:36,3.278,Onsite,1
240,219178,3,Sales,Software Engineering,2022-11-28 08:11:28,3.681,Remote,0
241,130625,158,Data,Data Engineering,2024-07-03 20:44:26,2.198,Onsite,0
242,245995,2,Engineering,Cybersecurity,2020-09-20 01:38:47,0.452,Onsite,0
243,102843,124,Finance,Quality Assurance,2020-10-14 05:33:22,2.863,Onsite,0
244,32858,25,IT,Business Analytics,2023-02-28 04:36:31,0.911,Onsite,1
245,160013,24,HR,Cybersecurity,2023-01-17 20:32:00,2.957,Onsite,0
246,247641,138,Engineering,DevOps,2023-04-18 02:38:13,3.988,Hybrid,0
247,343967,186,Data,MLOps,2025-10-02 20:25:28,1.001,Onsite,0
248,269093,58,Data,Data Engineering,2022-06-13 00:56:55,1.871,Onsite,0
249,157259,86,Finance,DevOps,2024-05-14 02:32:47,1.348,Onsite,1
250,340921,146,Product,MLOps,2019-06-10 12:59:44,0.957,Onsite,0
251,111883,45,Engineering,Product Management,2020-11-07 02:28:56,1.839,Onsite,0
252,216635,198,Support,Software Engineering,2025-10-14 19:09:10,3.989,Onsite,0
253,214353,76,Marketing,Product Management,2022-07-16 01:50:30,1.018,Hybrid,0
254,301860,122,Engineering,Product Management,2025-08-05 21:53:54,0.427,Remote,0
255,175504,133,Engineering,Machine Learning,2020-09-18 22:58:07,1.987,Onsite,1
256,84969,31,HR,Software Engineering,2021-05-12 14:40:42,2.225,Onsite,0
257,287129,18,Support,Business Analytics,2020-04-21 01:26:34,1.635,Onsite,1
258,189390,73,HR,Data Engineering,2025-11-20 02:25:55,2.08,Onsite,0
259,120741,147,Finance,Cybersecurity,2019-03-10 12:28:11,3.913,Onsite,1
260,210746,83,Data,Software Engineering,2025-09-12 01:26:05,1.297,Onsite,0
261,153207,155,Marketing,Cybersecurity,2023-12-28 08:27:11,1.448,Onsite,0
262,303894,67,IT,Product Management,2023-08-07 18:59:01,1.849,Onsite,0
263,271312,195,Support,MLOps,2025-01-11 21:12:36,1.993,Onsite,0
264,321371,109,Product,MLOps,2020-09-07 19:42:36,1.272,Onsite,0
265,278500,198,Engineering,MLOps,2022-10-03 18:26:37,2.499,Hybrid,1
266,281455,123,Product,Cybersecurity,2022-04-24 04:18:57,0.686,Hybrid,0
267,276664,106,HR,Machine Learning,2020-11-16 23:43:35,0.449,Hybrid,0
268,56438,137,Marketing,MLOps,2024-11-15 22:45:56,3.147,Hybrid,0
269,202305,190,Support,Data Engineering,2022-10-20 21:09:51,3.023,Onsite,0
270,96420,95,Operations,Cybersecurity,2022-07-12 13:44:32,2.103,Remote,0
271,26073,122,Engineering,Software Engineering,2022-06-30 21:28:02,2.019,Onsite,0
272,341680,188,HR,MLOps,2024-12-19 14:23:28,1.061,Remote,1
273,270862,37,Support,Product Management,2022-03-28 05:31:51,3.066,Hybrid,0
274,137934,100,Engineering,Cybersecurity,2025-02-25 14:07:38,1.258,Onsite,0
275,313132,53,Sales,Data Engineering,2025-10-30 13:12:30,2.054,Onsite,0
276,23109,143,HR,Data Engineering,2023-08-09 05:10:12,2.891,Remote,0
277,121660,141,Product,Business Analytics,2019-08-26 20:36:52,2.634,Onsite,0
278,90128,129,Finance,Data Science,2024-02-27 22:56:26,2.99,Onsite,0
279,66233,82,Data,DevOps,2020-01-07 22:17:31,2.748,Onsite,0
280,202198,182,Product,DevOps,2021-04-11 22:43:17,1.168,Onsite,0
281,223736,176,Data,Quality Assurance,2022-04-14 05:03:10,0.991,Onsite,1
282,146650,83,Operations,DevOps,2022-12-28 04:09:36,1.045,Onsite,0
283,188347,126,Product,Data Engineering,2020-06-20 20:03:33,3.828,Onsite,0
284,265270,186,Data,Product Management,2020-06-11 02:59:25,0.991,Hybrid,0
285,171813,155,Support,Software Engineering,2025-09-07 01:44:04,2.178,Onsite,0
286,258331,113,Product,Cybersecurity,2023-01-19 20:14:21,2.766,Hybrid,0
287,178703,91,Product,Data Science,2021-05-04 12:01:41,2.088,Hybrid,0
288,361240,53,Support,DevOps,2022-04-25 06:44:12,2.923,Onsite,0
289,347830,4,HR,Quality Assurance,2021-08-04 20:40:54,0.948,Onsite,0
290,112250,137,Finance,MLOps,2024-05-18 14:32:21,1.857,Onsite,0
291,210633,49,Engineering,Machine Learning,2023-12-14 06:50:21,2.596,Hybrid,0
292,271965,99,IT,Machine Learning,2021-08-03 01:59:59,2.916,Onsite,0
293,221240,5,Data,Business Analytics,2022-07-16 08:02:55,1.227,Remote,0
294,34165,53,Support,Cybersecurity,2019-02-26 12:10:57,2.345,Hybrid,0
295,85976,22,Engineering,Software Engineering,2019-12-21 21:47:35,2.226,Hybrid,0
296,271400,117,Engineering,Machine Learning,2023-05-29 21:06:34,1.761,Onsite,0
297,237678,164,Product,DevOps,2019-07-07 23:25:18,1.424,Onsite,0
298,124697,184,Operations,Data Science,2025-09-07 23:37:24,3.017,Hybrid,0
299,50305,124,Marketing,Machine Learning,2019-07-09 14:44:37,3.899,Onsite,0
300,139549,157,IT,Machine Learning,2023-09-05 20:29:04,2.694,Onsite,0
301,105037,101,Finance,Business Analytics,2020-05-10 11:56:22,2.559,Remote,0
302,126444,189,Finance,Data Science,2020-02-17 05:34:40,2.912,Onsite,0
303,69405,100,Product,Cybersecurity,2021-03-26 07:27:58,3.001,Onsite,0
304,375463,4,HR,Data Science,2021-10-12 19:48:50,0.452,Onsite,0
305,5224,54,Support,Product Management,2023-06-14 03:18:32,3.357,Onsite,0
306,395304,75,Sales,Machine Learning,2021-11-04 06:59:35,3.436,Onsite,0
307,173605,170,Data,Quality Assurance,2019-03-28 15:17:15,2.592,Onsite,0
308,379687,89,Finance,MLOps,2020-11-06 18:15:21,2.121,Onsite,0
309,233413,55,Finance,Product Management,2021-10-28 14:25:16,1.896,Onsite,0
310,333281,22,Operations,Data Science,2020-10-23 14:05:54,0.256,Onsite,0
311,122046,140,Data,Quality Assurance,2022-01-08 16:33:32,3.733,Hybrid,0
312,293662,156,Sales,Data Science,2022-09-01 15:12:18,1.092,Remote,0
313,304779,59,Operations,Business Analytics,2019-05-15 18:41:32,1.287,Onsite,0
314,155652,2,Sales,Software Engineering,2025-05-30 01:05:00,2.025,Hybrid,0
315,60873,17,Engineering,Machine Learning,2019-03-08 03:36:42,0.325,Onsite,0
316,190124,185,Engineering,Machine Learning,2024-08-28 09:34:52,1.722,Onsite,0
317,123305,32,Operations,Data Engineering,2022-03-16 11:53:22,1.139,Onsite,1
318,34847,162,IT,Product Management,2019-05-29 16:45:44,0.415,Hybrid,0
319,95660,156,HR,Cybersecurity,2025-09-12 15:08:46,2.938,Hybrid,0
320,247610,182,HR,Data Engineering,2022-05-03 07:00:01,2.987,Onsite,0
321,137863,200,Operations,Software Engineering,2020-09-26 12:04:35,1.963,Hybrid,0
322,310853,36,Marketing,Business Analytics,2024-08-05 23:08:13,3.332,Hybrid,0
323,358173,9,Operations,Quality Assurance,2020-12-18 11:37:03,3.641,Onsite,0
324,207157,101,IT,Quality Assurance,2020-05-25 22:59:59,1.697,Remote,0
325,161482,22,Product,DevOps,2025-11-27 01:40:34,1.308,Remote,0
326,156515,159,Marketing,Business Analytics,2021-07-13 10:36:34,2.184,Onsite,0
327,109400,195,Support,Business Analytics,2021-03-21 17:13:35,3.594,Onsite,1
328,275149,61,Operations,Business Analytics,2025-04-30 11:28:10,2.188,Hybrid,0
329,304868,158,HR,Product Management,2022-06-15 10:42:05,1.104,Onsite,0
330,34744,5,HR,Cybersecurity,2022-06-01 07:23:55,3.155,Onsite,0
331,119634,62,Data,Data Engineering,2021-04-10 09:32:14,1.09,Remote,0
332,136364,53,IT,Data Engineering,2023-01-10 07:10:23,2.895,Onsite,0
333,182084,61,Sales,Data Science,2021-01-07 19:10:52,3.794,Onsite,0
334,107119,93,Engineering,MLOps,2021-03-15 21:21:40,1.263,Onsite,0
335,225783,7,HR,Data Science,2021-02-05 10:31:01,1.881,Onsite,0
336,3391,163,IT,Data Engineering,2023-04-24 17:24:25,1.483,Onsite,0
337,162599,197,Finance,Machine Learning,2024-09-25 14:30:01,3.656,Onsite,0
