offer_id,application_id,offered_ctc_lpa,joining_bonus_lakhs,status,offer_date,expected_joining_date
54166,34555,48.2,1.5,Accepted,2019-02-03 09:08:45,2021-11-21 19:33:05
28906,70431,36.7,0.5,Accepted,2019-02-03 09:13:02,2026-02-01 13:12:19
11939,258353,36.7,0.0,Accepted,2019-02-03 09:44:14,2020-08-15 13:50:48
45493,255219,36.3,0.5,Accepted,2019-02-03 10:07:48,2020-12-12 14:24:40
30799,300385,81.2,0.0,Accepted,2019-02-03 12:59:35,2023-10-28 05:22:04
57032,319379,42.5,0.0,Accepted,2019-02-03 13:48:51,2024-03-05 03:26:24
48833,312903,16.0,0.0,Accepted,2019-02-03 14:04:38,2025-01-01 15:27:26
20224,130613,34.3,0.0,Accepted,2019-02-03 15:30:55,2024-01-01 17:52:46
6654,319883,69.5,0.0,Declined,2019-02-03 15:58:26,2020-04-25 23:49:43
29636,341321,18.4,1.0,Accepted,2019-02-03 16:29:44,2024-04-03 09:15:07
41928,76371,44.8,0.0,Expired,2019-02-03 18:15:58,2023-06-02 22:42:06
49179,363437,73.4,1.0,Accepted,2019-02-03 19:00:07,2021-10-03 20:25:50
54330,126826,20.8,0.0,Accepted,2019-02-03 19:54:06,2025-11-20 17:51:40
38016,145152,37.4,2.0,Accepted,2019-02-03 19:56:41,2022-01-14 01:20:33
27521,180783,82.1,1.5,Expired,2019-02-03 20:02:13,2025-08-21 17:00:19
37361,295350,35.9,0.5,Declined,2019-02-03 21:54:55,2021-12-11 09:00:02
5787,164055,67.3,0.0,Withdrawn,2019-02-03 21:59:42,2024-05-25 18:18:48
18891,84679,22.6,1.0,Declined,2019-02-03 23:15:03,2020-10-13 00:18:44
51833,225100,41.1,0.0,Accepted,2019-02-04 01:02:53,2021-08-16 15:52:28
40222,390707,38.8,0.5,Accepted,2019-02-04 01:20:23,2025-11-08 20:31:01
3890,83700,5.0,0.0,Accepted,2019-02-04 01:23:28,2025-08-17 14:39:04
53718,355049,59.7,0.0,Accepted,2019-02-04 01:40:39,2025-07-20 12:32:47
366,236859,24.5,0.0,Withdrawn,2019-02-04 01:43:35,2021-01-27 14:03:13
4224,253281,11.3,0.5,Declined,2019-02-04 02:12:51,2019-04-26 15:22:54
22989,76780,75.2,0.0,Accepted,2019-02-04 04:39:08,2023-05-20 16:51:54
32740,370137,40.1,0.5,Accepted,2019-02-04 05:06:38,2024-01-06 17:06:39
16016,204451,34.5,0.5,Accepted,2019-02-04 06:27:22,2020-05-12 20:42:50
15916,165460,74.2,0.0,Withdrawn,2019-02-04 06:44:22,2022-01-18 06:48:29
6391,110960,89.8,0.0,Accepted,2019-02-04 07:25:00,2024-09-10 09:27:20
57148,217358,17.7,0.0,Withdrawn,2019-02-04 09:04:45,2024-07-31 08:03:31
56054,4585,85.6,1.0,Accepted,2019-02-04 10:01:59,2022-10-31 01:34:13
27973,195123,64.0,0.5,Accepted,2019-02-04 10:21:37,2024-08-16 11:35:40
37780,238460,62.2,1.5,Accepted,2019-02-04 10:22:48,2023-07-07 11:43:43
2630,118782,88.5,0.0,Accepted,2019-02-04 10:39:42,2023-09-05 15:55:31
51118,361239,83.7,3.0,Declined,2019-02-04 10:57:17,2023-05-06 19:38:03
15114,334621,74.9,2.0,Declined,2019-02-04 11:30:13,2019-02-21 18:19:24
309,317783,56.5,2.0,Accepted,2019-02-04 13:15:37,2019-03-23 14:21:15
58824,263736,55.8,0.0,Accepted,2019-02-04 13:31:59,2024-06-20 03:42:20
34621,308986,69.8,0.0,Accepted,2019-02-04 13:50:43,2023-03-30 23:51:44
6950,87886,28.9,1.5,Accepted,2019-02-04 14:32:14,2019-03-04 03:32:41
55662,120925,79.8,0.0,Accepted,2019-02-04 15:18:38,2024-09-04 00:00:05
42760,366326,30.7,0.0,Accepted,2019-02-04 15:59:30,2021-12-20 02:50:19
32658,231352,69.2,0.0,Accepted,2019-02-04 16:16:17,2020-07-31 21:27:52
3519,135318,81.7,1.5,Accepted,2019-02-04 18:21:49,2021-01-04 05:30:58
21089,361195,66.4,0.5,Accepted,2019-02-04 20:10:15,2025-02-09 16:31:03
15484,223796,73.7,0.0,Accepted,2019-02-04 20:30:34,2022-04-12 07:25:58
30755,360020,36.6,0.5,Declined,2019-02-04 21:27:28,2025-10-05 07:19:09
54551,150459,67.3,1.0,Declined,2019-02-04 23:37:57,2021-05-23 20:35:37
12428,399491,29.3,0.0,Accepted,2019-02-05 00:06:01,2020-08-15 11:55:42
11104,292067,12.3,0.0,Accepted,2019-02-05 01:35:45,2021-12-31 18:10:00
46581,292717,26.2,0.0,Accepted,2019-02-05 02:22:41,2024-10-12 08:40:15
20519,82951,88.5,0.5,Accepted,2019-02-05 02:25:01,2020-10-16 15:46:53
46773,119433,24.5,0.0,Declined,2019-02-05 03:15:10,2021-10-29 12:16:45
16064,77192,52.1,1.5,Accepted,2019-02-05 03:24:33,2024-08-16 19:57:56
319,110194,88.5,0.0,Accepted,2019-02-05 03:43:47,2019-09-18 07:07:11
40165,257548,10.9,0.0,Accepted,2019-02-05 03:57:01,2019-11-11 16:21:49
55299,135410,28.6,0.0,Accepted,2019-02-05 05:23:25,2020-12-12 14:41:20
1731,65669,60.8,0.5,Accepted,2019-02-05 05:49:05,2022-03-21 02:10:23
7498,277051,52.2,0.0,Declined,2019-02-05 06:15:16,2024-07-26 15:43:34
49392,299778,50.7,1.0,Accepted,2019-02-05 06:40:51,2020-03-20 10:00:56
636,161323,71.6,1.0,Accepted,2019-02-05 06:53:08,2021-08-23 10:09:54
37993,398529,66.0,0.0,Accepted,2019-02-05 07:38:44,2020-11-08 02:57:41
38354,299197,77.5,0.0,Accepted,2019-02-05 08:16:06,2025-12-04 02:31:08
39125,222700,32.5,0.0,Declined,2019-02-05 08:46:39,2022-05-26 11:43:01
55362,337722,71.6,0.5,Accepted,2019-02-05 10:34:30,2019-10-09 23:40:26
48029,58943,80.5,0.5,Accepted,2019-02-05 12:20:10,2023-06-10 09:55:36
55675,254026,13.2,0.0,Accepted,2019-02-05 16:00:25,2019-12-31 12:30:01
49733,357742,20.8,0.5,Accepted,2019-02-05 17:05:11,2021-01-12 02:34:20
36624,141693,89.1,1.0,Declined,2019-02-05 17:15:08,2020-07-29 12:18:08
56527,201646,55.4,0.5,Accepted,2019-02-05 17:15:27,2023-05-28 05:56:35
59302,362493,22.0,0.0,Declined,2019-02-05 17:35:35,2019-08-02 09:33:40
1732,250785,53.5,2.0,Declined,2019-02-05 18:24:53,2022-04-01 11:38:11
27743,309414,23.3,1.0,Accepted,2019-02-05 19:57:00,2022-07-05 18:51:54
59137,16076,85.3,0.5,Declined,2019-02-05 20:19:25,2021-10-04 08:12:41
59584,180635,86.2,1.0,Accepted,2019-02-05 21:25:04,2020-04-14 18:41:50
41177,4195,8.0,0.0,Withdrawn,2019-02-05 21:59:16,2019-05-22 15:20:23
15239,132296,68.8,0.0,Accepted,2019-02-05 23:16:46,2022-05-03 19:41:15
57529,357358,21.4,0.0,Accepted,2019-02-06 00:44:20,2021-10-29 10:49:21
37812,268304,79.1,0.5,Declined,2019-02-06 00:56:13,2019-06-19 23:21:11
49368,166069,49.2,2.0,Accepted,2019-02-06 01:40:29,2026-01-31 12:55:37
34897,144352,83.6,2.0,Expired,2019-02-06 02:18:42,2022-07-20 15:07:50
44802,281156,23.3,2.0,Accepted,2019-02-06 04:12:12,2019-09-12 08:47:30
22561,40318,19.5,1.5,Accepted,2019-02-06 06:31:11,2025-09-13 11:47:45
24124,325739,58.5,1.0,Declined,2019-02-06 08:18:52,2024-11-11 14:07:02
7529,92478,54.0,0.5,Accepted,2019-02-06 08:55:54,2025-12-28 14:51:11
37632,369787,30.4,0.0,Accepted,2019-02-06 10:30:29,2019-07-05 09:16:02
12912,66075,88.5,0.0,Declined,2019-02-06 10:56:21,2023-07-19 11:39:58
34714,197910,86.1,1.5,Declined,2019-02-06 12:33:50,2023-07-20 00:07:24
15201,67355,51.2,0.0,Expired,2019-02-06 15:54:05,2020-07-25 17:34:45
9228,390520,39.6,0.0,Accepted,2019-02-06 16:46:59,2024-11-02 03:30:55
46643,243960,51.4,0.0,Accepted,2019-02-06 17:09:26,2019-05-23 11:44:08
7676,140495,85.0,2.0,Declined,2019-02-06 17:18:37,2022-01-08 01:17:18
54506,68391,88.4,0.0,Accepted,2019-02-06 17:20:13,2020-04-09 19:50:47
15335,368564,75.2,0.0,Accepted,2019-02-06 17:38:27,2023-09-17 03:49:30
40434,165199,14.7,0.0,Withdrawn,2019-02-06 17:50:48,2019-09-03 19:26:10
49410,81860,68.1,0.0,Accepted,2019-02-06 18:38:15,2023-12-24 05:19:32
34336,348442,62.6,0.0,Accepted,2019-02-06 18:54:44,2023-09-09 10:53:19
43904,281619,68.5,0.5,Withdrawn,2019-02-06 23:51:41,2020-05-28 03:46:36
59136,156034,36.7,0.5,Declined,2019-02-07 02:19:21,2021-12-20 10:29:54
31975,110212,86.6,0.5,Expired,2019-02-07 03:38:35,2020-10-07 21:15:00
20739,129775,20.7,0.5,Accepted,2019-02-07 04:12:50,2024-09-27 19:49:35
18680,208137,9.6,0.0,Accepted,2019-02-07 04:15:52,2024-05-07 05:17:55
46938,385068,64.2,0.0,Accepted,2019-02-07 06:08:53,2021-01-29 10:13:04
174,221417,6.7,0.0,Accepted,2019-02-07 07:07:29,2023-07-21 02:41:32
28210,127368,46.8,1.0,Accepted,2019-02-07 08:00:18,2026-01-14 22:52:50
35114,173883,15.2,0.0,Accepted,2019-02-07 08:18:14,2023-08-10 20:37:57
35726,65093,21.1,0.0,Declined,2019-02-07 09:04:52,2019-08-04 17:40:19
58198,22212,22.9,0.0,Accepted,2019-02-07 10:13:14,2022-11-03 09:29:27
40588,252778,57.5,0.5,Expired,2019-02-07 10:31:54,2022-05-22 16:54:32
43957,247869,68.7,0.0,Accepted,2019-02-07 11:26:17,2019-07-17 04:51:10
6569,92668,70.0,0.5,Declined,2019-02-07 12:22:26,2023-02-02 07:57:48
46641,179271,43.4,1.5,Accepted,2019-02-07 12:39:27,2025-01-29 07:23:31
59006,284492,42.3,0.0,Declined,2019-02-07 12:44:42,2020-12-27 02:21:13
49632,107119,20.9,2.0,Accepted,2019-02-07 13:08:37,2022-02-22 23:14:48
12143,19715,86.0,0.0,Accepted,2019-02-07 13:23:00,2022-09-16 20:22:14
38972,391250,10.8,1.5,Accepted,2019-02-07 14:41:56,2020-02-17 15:49:59
32000,212331,88.4,0.5,Accepted,2019-02-07 15:44:58,2022-05-17 18:51:33
57494,173453,73.7,0.0,Declined,2019-02-07 17:00:22,2023-04-18 01:37:02
30677,17030,75.6,0.0,Accepted,2019-02-07 18:25:35,2025-01-10 08:45:33
50921,39090,31.5,0.5,Accepted,2019-02-07 19:25:05,2024-04-17 23:45:30
48664,17638,43.7,0.0,Declined,2019-02-07 20:39:01,2025-10-19 11:46:32
38283,300545,4.1,0.0,Accepted,2019-02-07 21:25:10,2022-12-15 07:45:18
41776,11188,31.5,0.0,Accepted,2019-02-07 21:36:15,2020-07-15 21:16:19
3834,170840,88.6,0.0,Accepted,2019-02-07 21:39:48,2024-02-05 01:59:07
17704,145352,13.4,1.0,Declined,2019-02-07 22:19:27,2024-12-18 15:19:46
11181,234506,62.7,0.0,Accepted,2019-02-07 22:47:01,2025-11-27 01:04:38
1050,69185,48.3,0.5,Declined,2019-02-07 22:52:09,2021-07-15 02:37:15
3997,323315,51.0,0.5,Declined,2019-02-07 23:11:37,2022-11-14 23:31:39
49254,148727,35.8,0.5,Accepted,2019-02-07 23:21:37,2020-04-03 21:28:22
14083,318364,11.9,0.5,Accepted,2019-02-08 01:47:09,2021-11-28 07:02:03
22763,201624,82.5,0.0,Accepted,2019-02-08 01:55:37,2020-05-11 01:57:37
45692,349133,44.7,0.0,Accepted,2019-02-08 02:55:19,2019-05-15 19:25:10
40429,61150,42.8,1.0,Accepted,2019-02-08 03:27:58,2021-02-25 11:45:23
893,158996,24.2,0.5,Declined,2019-02-08 04:37:32,2019-05-26 20:51:40
48328,151425,81.5,2.0,Declined,2019-02-08 05:23:55,2020-01-31 14:48:27
15168,332549,79.5,0.0,Declined,2019-02-08 06:21:29,2023-10-16 22:56:22
51164,138092,16.5,0.0,Declined,2019-02-08 06:55:28,2024-06-30 18:07:36
13159,300222,35.0,0.0,Accepted,2019-02-08 08:14:03,2019-04-27 12:04:19
44461,94392,44.1,0.0,Accepted,2019-02-08 08:46:58,2023-11-03 22:05:47
40394,326376,59.7,0.0,Accepted,2019-02-08 09:08:44,2019-07-09 20:11:42
6107,119068,26.2,0.0,Declined,2019-02-08 09:25:16,2024-01-23 00:17:12
3565,315630,9.2,1.5,Accepted,2019-02-08 10:28:54,2023-10-06 04:56:55
16238,256178,81.1,0.0,Accepted,2019-02-08 11:04:08,2022-09-17 14:06:51
28420,282665,14.5,0.0,Accepted,2019-02-08 11:42:01,2025-06-14 09:03:05
36639,218270,30.4,0.0,Accepted,2019-02-08 13:29:41,2024-01-06 17:49:52
36988,14805,44.7,0.0,Accepted,2019-02-08 14:25:52,2024-10-27 17:46:24
41026,277363,56.1,0.0,Accepted,2019-02-08 14:31:08,2024-05-02 10:39:53
15940,384295,20.2,0.5,Declined,2019-02-08 14:56:20,2019-09-11 01:14:00
15358,42095,21.9,0.0,Accepted,2019-02-08 15:26:01,2025-05-04 18:22:40
48690,306710,42.3,0.0,Accepted,2019-02-08 16:33:20,2022-07-27 08:04:00
3429,286747,54.1,0.0,Accepted,2019-02-08 17:30:48,2025-04-27 14:35:23
40061,92171,35.1,0.0,Declined,2019-02-08 21:06:07,2021-09-09 00:37:25
54737,341318,36.3,0.0,Accepted,2019-02-08 22:25:05,2023-05-06 23:40:00
19245,6527,70.1,0.5,Accepted,2019-02-08 23:18:41,2020-11-15 23:04:48
9874,166757,9.7,1.0,Accepted,2019-02-08 23:38:54,2026-02-28 22:28:51
13235,338394,18.5,1.0,Declined,2019-02-08 23:56:14,2020-01-29 23:22:13
1485,25563,64.0,0.0,Accepted,2019-02-09 02:01:17,2021-09-14 06:49:33
42607,291758,71.2,0.0,Accepted,2019-02-09 02:27:57,2025-01-24 00:05:29
43662,284904,30.9,0.5,Accepted,2019-02-09 02:47:34,2020-12-20 05:15:30
45110,288601,59.0,0.0,Accepted,2019-02-09 03:08:54,2019-07-30 10:39:05
58964,202074,39.6,0.5,Accepted,2019-02-09 03:38:49,2022-11-25 20:53:57
7288,235815,61.8,2.0,Accepted,2019-02-09 07:10:16,2022-08-30 03:22:15
36547,25831,83.4,0.5,Accepted,2019-02-09 08:04:07,2025-08-28 16:46:09
55766,199461,50.0,0.0,Accepted,2019-02-09 08:08:29,2025-11-19 21:16:47
25251,239589,31.5,0.5,Accepted,2019-02-09 08:55:20,2020-03-19 09:52:58
13457,374469,14.2,2.0,Accepted,2019-02-09 12:46:03,2024-09-06 15:36:06
28029,32773,80.4,0.0,Expired,2019-02-09 14:23:17,2023-08-08 01:32:25
37506,241775,34.1,1.0,Accepted,2019-02-09 16:23:03,2021-08-26 10:14:15
35155,32746,11.5,1.0,Declined,2019-02-09 16:33:32,2024-01-17 18:37:19
48163,167612,58.2,0.0,Declined,2019-02-09 16:50:00,2019-04-15 17:16:41
22617,363230,54.9,0.5,Accepted,2019-02-09 17:20:11,2021-09-26 19:00:31
45770,18306,81.6,0.5,Accepted,2019-02-09 17:24:35,2024-07-09 00:49:19
8220,224507,47.7,0.0,Accepted,2019-02-09 17:48:48,2024-07-31 11:12:38
43371,271423,53.6,0.0,Accepted,2019-02-09 18:09:33,2023-02-13 19:41:42
14778,297927,55.3,0.0,Accepted,2019-02-09 19:30:18,2025-09-08 19:59:06
21138,218942,39.8,0.0,Accepted,2019-02-09 20:20:21,2022-08-17 18:15:07
14801,88628,67.9,0.0,Accepted,2019-02-09 21:55:21,2019-10-15 10:12:53
49260,297257,48.7,1.5,Accepted,2019-02-09 22:02:00,2024-08-28 05:47:56
54762,127183,68.3,0.0,Accepted,2019-02-09 23:02:48,2019-04-30 00:58:28
19204,162734,80.9,0.0,Accepted,2019-02-09 23:03:44,2019-05-31 15:03:12
9767,200150,32.8,0.0,Accepted,2019-02-10 00:58:53,2020-05-01 23:32:02
33431,145602,78.9,0.0,Accepted,2019-02-10 01:41:35,2024-02-25 12:21:44
55621,301286,87.8,0.0,Accepted,2019-02-10 02:06:28,2020-04-15 15:43:02
15482,287484,10.4,0.0,Accepted,2019-02-10 04:53:23,2023-07-04 14:12:30
12904,339065,6.8,0.5,Declined,2019-02-10 06:39:50,2019-03-24 03:31:23
36249,183171,28.6,0.0,Expired,2019-02-10 09:40:04,2025-10-07 16:37:51
41708,43281,27.8,1.5,Accepted,2019-02-10 09:48:22,2023-07-15 10:07:39
8618,292996,85.0,0.0,Accepted,2019-02-10 10:33:33,2024-11-07 13:57:48
38886,262130,9.4,0.0,Withdrawn,2019-02-10 12:52:08,2024-06-19 01:37:43
18301,142356,60.2,0.0,Accepted,2019-02-10 13:01:50,2019-03-21 12:21:43
6903,346456,58.7,0.0,Accepted,2019-02-10 15:18:54,2022-09-07 09:24:47
28248,41674,17.6,0.0,Accepted,2019-02-10 16:09:23,2020-12-11 18:52:06
47508,146446,15.3,0.0,Accepted,2019-02-10 16:57:44,2023-12-28 17:27:52
35301,244122,61.9,0.0,Accepted,2019-02-10 17:32:44,2023-03-03 14:36:14
26740,225089,25.7,0.5,Declined,2019-02-10 18:45:55,2019-08-01 19:17:37
12796,150300,73.6,0.0,Accepted,2019-02-10 18:53:38,2021-09-28 11:03:47
5045,297566,20.2,2.0,Expired,2019-02-10 19:52:51,2023-03-31 23:13:58
13521,335688,54.7,0.0,Accepted,2019-02-10 21:19:00,2025-04-10 01:17:34
16069,322931,41.3,0.5,Declined,2019-02-10 21:46:54,2021-05-09 18:18:33
8274,93889,58.7,1.0,Accepted,2019-02-10 22:59:35,2025-09-24 06:06:02
33189,124274,4.8,0.0,Accepted,2019-02-11 00:07:44,2021-11-14 00:27:57
4830,86051,75.9,0.0,Accepted,2019-02-11 00:51:16,2020-12-14 19:46:10
7906,6790,80.3,0.5,Accepted,2019-02-11 01:48:01,2023-01-06 22:49:23
42155,284754,72.6,1.0,Accepted,2019-02-11 02:05:17,2023-03-09 14:36:02
4254,306875,89.1,0.0,Accepted,2019-02-11 02:58:57,2024-11-03 03:30:33
44637,385679,31.1,0.5,Accepted,2019-02-11 03:17:23,2021-09-23 06:26:28
51831,191252,22.0,0.0,Withdrawn,2019-02-11 06:47:56,2020-07-04 23:34:51
20302,353910,89.7,0.0,Declined,2019-02-11 06:52:03,2019-04-15 21:14:06
55497,392979,27.0,0.0,Accepted,2019-02-11 07:57:02,2019-03-02 09:22:20
7249,152316,9.1,0.0,Accepted,2019-02-11 10:54:28,2021-05-23 11:38:20
57485,67311,18.3,0.5,Accepted,2019-02-11 11:20:19,2022-03-04 06:49:44
13409,188836,44.2,0.5,Accepted,2019-02-11 12:45:50,2024-12-05 19:40:40
33471,191214,58.0,2.0,Accepted,2019-02-11 12:45:59,2023-05-28 09:25:11
19907,159017,31.8,2.0,Declined,2019-02-11 13:00:26,2021-09-19 05:13:14
14412,343187,17.5,0.0,Accepted,2019-02-11 13:27:50,2024-02-03 11:39:13
15468,35286,18.1,0.0,Accepted,2019-02-11 13:41:50,2022-07-19 23:31:12
43872,33647,80.8,1.0,Accepted,2019-02-11 13:48:50,2020-10-28 14:46:59
38363,185396,37.2,0.0,Accepted,2019-02-11 13:54:51,2024-03-26 18:30:56
57506,98016,38.3,0.0,Accepted,2019-02-11 15:44:46,2022-07-14 18:26:06
37940,184857,51.1,0.0,Accepted,2019-02-11 15:56:04,2019-11-04 17:31:40
30250,304886,39.1,0.0,Declined,2019-02-11 17:56:43,2025-11-17 14:13:51
58406,157333,16.4,0.0,Accepted,2019-02-11 23:17:41,2025-10-15 12:14:22
14408,356165,44.0,0.5,Accepted,2019-02-12 00:02:48,2022-10-17 07:56:29
2441,164537,43.6,0.0,Accepted,2019-02-12 00:25:58,2025-11-08 12:22:49
14730,201131,12.6,0.5,Accepted,2019-02-12 01:43:16,2021-11-19 08:16:26
28684,221826,35.5,0.5,Accepted,2019-02-12 01:56:37,2022-10-29 11:51:38
19836,181392,88.7,1.0,Accepted,2019-02-12 03:41:32,2022-11-21 07:48:00
23870,364730,25.7,0.0,Accepted,2019-02-12 05:09:01,2021-10-17 19:00:47
29987,375304,47.8,0.0,Declined,2019-02-12 07:11:43,2025-04-15 17:53:38
41112,333278,75.5,0.0,Withdrawn,2019-02-12 11:41:45,2020-03-12 23:43:11
29885,216369,82.4,0.0,Accepted,2019-02-12 13:22:50,2025-04-11 16:54:08
7962,359750,36.0,0.0,Accepted,2019-02-12 13:30:59,2024-12-27 19:46:23
8937,343270,8.1,0.0,Accepted,2019-02-12 14:26:34,2021-10-22 16:26:20
48557,194417,28.6,0.5,Accepted,2019-02-12 18:03:05,2021-09-16 00:09:16
856,197839,32.0,0.5,Declined,2019-02-12 23:09:26,2022-08-30 21:22:31
9330,376580,18.2,0.0,Accepted,2019-02-12 23:27:54,2020-03-11 15:12:14
1101,391413,34.1,0.5,Accepted,2019-02-13 00:22:10,2019-05-23 20:45:36
16938,201704,58.4,2.0,Declined,2019-02-13 00:35:45,2023-11-13 13:07:45
10998,267663,63.4,0.0,Expired,2019-02-13 01:29:18,2019-08-20 15:44:53
47254,389794,73.6,0.0,Accepted,2019-02-13 02:09:03,2020-03-14 10:39:41
23539,172134,60.2,0.5,Accepted,2019-02-13 02:46:31,2019-08-14 00:05:26
3233,57776,40.0,0.0,Accepted,2019-02-13 03:53:29,2023-09-29 21:56:05
42401,341042,28.7,0.0,Accepted,2019-02-13 04:05:33,2019-02-24 10:25:09
6372,136612,9.8,0.0,Accepted,2019-02-13 04:43:05,2022-11-03 02:36:37
51220,211549,45.6,0.5,Accepted,2019-02-13 05:02:57,2025-01-23 06:46:30
6984,95527,85.6,0.5,Accepted,2019-02-13 06:38:25,2019-08-30 00:25:37
54277,198328,81.1,1.5,Accepted,2019-02-13 07:38:33,2021-01-22 13:09:04
21175,102239,4.3,0.5,Declined,2019-02-13 08:40:11,2020-11-23 13:24:06
840,1870,80.4,0.0,Accepted,2019-02-13 09:13:34,2025-03-18 21:24:17
52640,317538,58.5,1.0,Accepted,2019-02-13 09:52:24,2024-08-04 19:13:13
